density,pycno_rate,pycno_rate2,Log Density,Log Sao Paolo Rate,Log M3Y Rate
1.00E+09,7.60E-16,1.55E-18,9,-15.11898531,-17.80850547
1.99E+09,1.57E-06,3.33E-09,9.298853076,-5.802868368,-8.477869016
2.98E+09,1.62E-01,3.52E-04,9.474216264,-0.789941118,-3.453987961
3.97E+09,3.83E+02,0.848416196,9.598790507,2.583275874,-0.07139105
4.96E+09,1.35E+05,284.9593083,9.695481676,5.12942885,2.454782848
5.95E+09,1.32E+07,28210.02515,9.774516966,7.118942266,4.450403473
6.94E+09,5.72E+08,1243339.159,9.84135947,8.757488648,6.094589612
7.93E+09,1.40E+10,30767016.12,9.899273187,10.1456811,7.488085379
8.92E+09,2.22E+11,493997277.7,9.950364854,11.34624928,8.693724556
9.91E+09,2.52E+12,5682802198,9.996073654,12.40216161,9.75456254
1.09E+10,2.20E+13,50029515898,10.0374265,13.34195062,10.6992263
1.19E+10,1.54E+14,3.55261E+11,10.07518185,14.18831808,11.55054781
1.29E+10,9.05E+14,2.1094E+12,10.10991586,14.95663322,12.32415961
1.39E+10,4.57E+15,1.08168E+13,10.14207646,15.65954732,13.03409914
1.49E+10,2.03E+16,4.85027E+13,10.17201881,16.30660085,13.6857655
1.59E+10,8.05E+16,1.93825E+14,10.20002927,16.90580074,14.28740925
1.68E+10,2.91E+17,7.039E+14,10.22634209,17.46353914,14.84751101
1.78E+10,9.64E+17,2.34496E+15,10.25115134,17.9838693,15.37013554
1.88E+10,2.97E+18,7.25708E+15,10.27461962,18.47226631,15.86076196
1.98E+10,8.54E+18,2.10026E+16,10.29688448,18.93160431,16.32227338
2.08E+10,2.32E+19,5.72956E+16,10.31806333,19.36533071,16.75812126
2.18E+10,5.97E+19,1.48E+17,10.33825723,19.77570145,17.17056678
2.28E+10,1.46E+20,3.65E+17,10.35755372,20.16534821,17.5622468
2.38E+10,3.43E+20,8.60E+17,10.37602918,20.53564724,17.93453802
2.48E+10,7.74E+20,1.95E+18,10.39375064,20.88855969,18.28941003
2.58E+10,1.68E+21,4.25E+18,10.41077723,21.22589054,18.62866941
2.67E+10,3.53E+21,8.96E+18,10.4271614,21.54777348,18.95245218
2.77E+10,7.19E+21,1.83E+19,10.44294987,21.85700122,19.26355603
2.87E+10,1.42E+22,3.65E+19,10.45818444,22.15335137,19.56176103
2.97E+10,2.74E+22,7.05E+19,10.47290265,22.43775849,19.84800203
3.07E+10,5.15E+22,1.33E+20,10.48713838,22.71205593,20.12411737
3.17E+10,9.46E+22,2.45E+20,10.50092224,22.97592373,20.3897911
3.27E+10,1.70E+23,4.43E+20,10.51428205,23.23068133,20.64634322
3.37E+10,2.99E+23,7.83E+20,10.52724312,23.47630546,20.89375713
3.47E+10,5.18E+23,1.36E+21,10.53982856,23.71413856,21.13337657
3.57E+10,8.79E+23,2.32E+21,10.55205953,23.94389894,21.36492357
3.66E+10,1.47E+24,3.88E+21,10.56395546,24.16656035,21.58937671
3.76E+10,2.41E+24,6.41E+21,10.57553422,24.38249432,21.80711405
3.86E+10,3.91E+24,1.04E+22,10.58681227,24.59222007,22.018661
3.96E+10,6.24E+24,1.67E+22,10.59780484,24.79499594,22.22328323
4.06E+10,9.84E+24,2.65E+22,10.60852603,24.99281675,22.42298899
4.16E+10,1.53E+25,4.14E+22,10.61898892,25.18476806,22.61687941
4.26E+10,2.35E+25,6.39E+22,10.62920566,25.37143547,22.80556526
4.36E+10,3.58E+25,9.76E+22,10.63918756,25.55328698,22.9895611
4.46E+10,5.38E+25,1.48E+23,10.64894518,25.73057234,23.16920453
