Radius(fm),Sao Paulo,M3Y,RMF
  0.29999999999999999      ,  -212.86795673233968      ,  -212.22745895686637      ,  -331.11551298777113     
  0.33232000000000000      ,  -212.06115909720722      ,  -211.52998029946156      ,  -328.23510807496734     
  0.36464000000000002      ,  -211.17624633293522      ,  -210.75552884105250      ,  -332.19402747578869     
  0.39696000000000004      ,  -210.21442647022411      ,  -209.91258818862531      ,  -332.28786112036960     
  0.42928000000000005      ,  -209.17698781591591      ,  -209.00658050987880      ,  -329.64559275996288     
  0.46160000000000007      ,  -208.06529587269483      ,  -208.03450409240727      ,  -325.38126817780989     
  0.49392000000000008      ,  -206.88079189775766      ,  -206.98937306002421      ,  -322.05314533687039     
  0.52624000000000004      ,  -205.62499157851897      ,  -205.86299020559164      ,  -319.10878703415568     
  0.55856000000000006      ,  -204.29948262915090      ,  -204.64312548092806      ,  -310.30978220094141     
  0.59088000000000007      ,  -202.90592133009309      ,  -203.37581963317410      ,  -314.65823092996857     
  0.62320000000000009      ,  -201.44602821551285      ,  -202.05372392367968      ,  -313.34354086738966     
  0.65552000000000010      ,  -199.92158265189227      ,  -200.68449480602342      ,  -313.12761764565431     
  0.68784000000000012      ,  -198.33441627544562      ,  -199.25614576275137      ,  -310.85564673788014     
  0.72016000000000013      ,  -196.68640580461224      ,  -197.76436293123928      ,  -310.14307082808023     
  0.75248000000000015      ,  -194.97946616764264      ,  -196.21015988180366      ,  -307.20562010717447     
  0.78480000000000016      ,  -193.21554445237916      ,  -194.58513616715922      ,  -304.40949874351907     
  0.81712000000000018      ,  -191.39661480960069      ,  -192.89185811172521      ,  -302.46471895271901     
  0.84944000000000019      ,  -189.52467436200885      ,  -191.12755327526500      ,  -298.31578692067501     
  0.88176000000000021      ,  -187.60174008149002      ,  -189.30577779238953      ,  -294.31561720489583     
  0.91408000000000023      ,  -185.62984644391119      ,  -187.43027552186584      ,  -287.98755322912132     
  0.94640000000000024      ,  -183.61104328146001      ,  -185.50847314160055      ,  -288.27047497326646     
  0.97872000000000026      ,  -181.54739344777229      ,  -183.54214654937246      ,  -285.45348718356348     
   1.0110400000000002      ,  -179.44096990135372      ,  -181.53648587293799      ,  -280.01750918480428     
   1.0433600000000001      ,  -177.29385270123800      ,  -179.48237658697832      ,  -279.04086788188977     
   1.0756800000000000      ,  -175.10812580475729      ,  -177.38939586443519      ,  -275.97186169473201     
   1.1079999999999999      ,  -172.88587338209561      ,  -175.25406761348953      ,  -271.66063670843829     
   1.1403199999999998      ,  -170.62917609625919      ,  -173.07697143943506      ,  -271.14786556800118     
   1.1726399999999997      ,  -168.34010759847720      ,  -170.86603048370617      ,  -267.46046353034870     
   1.2049599999999996      ,  -166.02073150623752      ,  -168.62358913579374      ,  -262.30602278178299     
   1.2372799999999995      ,  -163.67309910808461      ,  -166.35049894540350      ,  -260.97389439812639     
   1.2695999999999994      ,  -161.29924763153187      ,  -164.05258012231974      ,  -257.60913708706840     
   1.3019199999999993      ,  -158.90119863982093      ,  -161.71566020872510      ,  -254.06482423729327     
   1.3342399999999992      ,  -156.48095675298219      ,  -159.34689561303699      ,  -250.09931075927986     
   1.3665599999999991      ,  -154.04050836549015      ,  -156.94903473397019      ,  -245.74958990982012     
   1.3988799999999990      ,  -151.58182020481325      ,  -154.52978499085907      ,  -241.92882523033245     
   1.4311999999999989      ,  -149.10683786792046      ,  -152.08531529066457      ,  -237.97120458848889     
   1.4635199999999988      ,  -146.61748419266837      ,  -149.62812061392057      ,  -232.61989294184588     
   1.4958399999999987      ,  -144.11565748538672      ,  -147.15456020816072      ,  -227.95479114918078     
   1.5281599999999986      ,  -141.60322989947255      ,  -144.66707921334071      ,  -224.56973838024538     
   1.5604799999999985      ,  -139.08204596686221      ,  -142.17189278551896      ,  -222.22061712591972     
   1.5927999999999984      ,  -136.55392136494436      ,  -139.66419558959393      ,  -217.86208636388338     
   1.6251199999999983      ,  -134.02064193417542      ,  -137.14677385071155      ,  -212.40458920284456     
   1.6574399999999982      ,  -131.48396311764242      ,  -134.62014829897754      ,  -204.88576272792457     
   1.6897599999999982      ,  -128.94560951094584      ,  -132.09227265321124      ,  -205.05481444377534     
   1.7220799999999981      ,  -126.40727428360383      ,  -129.55740047912442      ,  -201.75673401884615     
   1.7543999999999980      ,  -123.87061843117922      ,  -127.02169187130015      ,  -196.77360488781167     
   1.7867199999999979      ,  -121.33727002177430      ,  -124.48477457724904      ,  -190.24047930636323     
   1.8190399999999978      ,  -118.80882355424272      ,  -121.94994276690930      ,  -187.60683933141542     
   1.8513599999999977      ,  -116.28683931497268      ,  -119.42381907095614      ,  -183.67963036398598     
   1.8836799999999976      ,  -113.77284247503506      ,  -116.90872574650695      ,  -180.93751067016865     
   1.9159999999999975      ,  -111.26832241009485      ,  -114.39465474697802      ,  -174.60939924510794     
   1.9483199999999974      ,  -108.77473215924657      ,  -111.89009547625561      ,  -172.57549372744444     
   1.9806399999999973      ,  -106.29348801162577      ,  -109.39331341030559      ,  -167.96222053263054     
   2.0129599999999974      ,  -103.82596921398945      ,  -106.90514837652859      ,  -163.36522563120505     
   2.0452799999999973      ,  -101.37351766399932      ,  -104.43039949804680      ,  -159.60041927450081     
   2.0775999999999972      ,  -98.937437518632095      ,  -101.97140728342168      ,  -156.64055528597359     
   2.1099199999999971      ,  -96.518994719586701      ,  -99.535745923742581      ,  -152.84986192916932     
   2.1422399999999970      ,  -94.119416540652963      ,  -97.112563050002720      ,  -148.26121230964526     
   2.1745599999999969      ,  -91.739891196476322      ,  -94.710970535363842      ,  -138.38173238125094     
   2.2068799999999968      ,  -89.381567441823847      ,  -92.333226328408514      ,  -140.31707039642066     
   2.2391999999999967      ,  -87.045554219351686      ,  -89.983378607629035      ,  -136.58536518555292     
   2.2715199999999967      ,  -84.732920330397960      ,  -87.649927320160472      ,  -133.81253784810829     
   2.3038399999999966      ,  -82.444694304328820      ,  -85.341919150886056      ,  -129.73697609331501     
   2.3361599999999965      ,  -80.181864507435748      ,  -83.044763832552363      ,  -126.05867389381932     
   2.3684799999999964      ,  -77.945379504167406      ,  -80.782491141708405      ,  -121.00808043815020     
