Density,Sao Paulo,M3Y,RMF
   1000000000.0000000      ,   3163689541971.8604      ,   4431005883312.9346      ,   23645087227704.133     
   5950000000.0000000      ,   2947305146930.8740      ,   4191724958851.1045      ,   20576505323079.930     
   10900000000.000000      ,   2939848962890.7573      ,   4216781993022.5220      ,   19813898366960.004     
   15850000000.000000      ,   2809029938961.7974      ,   4055750254879.4858      ,   18443338609512.414     
   20800000000.000000      ,   2862206736762.0688      ,   4155706418208.6143      ,   18393106170113.461     
   25750000000.000000      ,   2739632813576.7080      ,   3997558800396.2832      ,   17282090955167.979     
   30700000000.000000      ,   2799289807763.0503      ,   4103179985902.8613      ,   17369808411188.131     
   35650000000.000000      ,   2701712328281.4873      ,   3976876197670.9111      ,   16515652619875.113     
   40600000000.000000      ,   2715481210991.7012      ,   4013021612758.8735      ,   16373163155014.861     
   45550000000.000000      ,   2699270326086.9580      ,   4004109499403.9390      ,   16068681518491.506     
   50500000000.000000      ,   2670329573856.0962      ,   3975466615803.1709      ,   15706994672929.480     
   55450000000.000000      ,   2621120612010.2690      ,   3915745861549.5176      ,   15244093143731.520     
   60400000000.000000      ,   2592308149002.3550      ,   3885688731140.5400      ,   14915497965966.441     
   65350000000.000000      ,   2711374219121.4580      ,   4077383477999.9072      ,   15441673719971.973     
   70300000000.000000      ,   2672120244082.5381      ,   4031080043703.4380      ,   15069728187986.697     
   75250000000.000000      ,   2666158719671.6650      ,   4034522287217.1841      ,   14895291352860.949     
   80200000000.000000      ,   2612830194066.8296      ,   3965786426379.2998      ,   14465680389314.596     
   85150000000.000000      ,   2529693432238.3125      ,   3850992776782.0469      ,   13883413233491.213     
   90100000000.000000      ,   2518254012506.0801      ,   3844753692907.1206      ,   13704138997322.873     
   95050000000.000000      ,   2561727160163.1860      ,   3922346800845.6284      ,   13826783239898.502     
   100000000000.00000      ,   2557063020201.0269      ,   3926275386021.5908      ,   13692049923277.100     
 
