Radius(fm),Vnn(MeV)
  0.40000000000000002      ,   224.30167718967220     
  0.50000000000000000      ,   52.152476105115966     
  0.60000000000000009      ,  -15.084462686995153     
  0.70000000000000007      ,  -38.183593420743307     
  0.80000000000000004      ,  -42.509975456293475     
  0.90000000000000002      ,  -39.253515691149005     
   1.0000000000000000      ,  -33.441055957613855     
   1.1000000000000001      ,  -27.288374413531351     
   1.2000000000000002      ,  -21.700670747942375     
   1.3000000000000000      ,  -16.973780080570428     
   1.4000000000000001      ,  -13.129773944467374     
   1.5000000000000000      ,  -10.078575464933881     
   1.6000000000000001      ,  -7.6947063739962003     
   1.7000000000000002      ,  -5.8521636545994831     
   1.8000000000000000      ,  -4.4386969304124264     
   1.9000000000000001      ,  -3.3601627744004801     
   2.0000000000000000      ,  -2.5403350841356529     
   2.1000000000000001      ,  -1.9188587019117038     
   2.2000000000000002      ,  -1.4486543786139765     
   2.3000000000000003      ,  -1.0933774539464878     
   2.4000000000000004      , -0.82517596550200689     
   2.5000000000000000      , -0.62281885645657753     
   2.6000000000000001      , -0.47018397585753868     
   2.7000000000000002      , -0.35506256939290937     
   2.8000000000000003      , -0.26822766864821029     
   2.9000000000000004      , -0.20271550840187522     
   3.0000000000000000      , -0.15327530990154090     
   3.1000000000000001      , -0.11595022092500397     
   3.2000000000000002      ,  -8.7759388820828982E-002
   3.3000000000000003      ,  -6.6457443869042121E-002
   3.4000000000000004      ,  -5.0352917573924245E-002
   3.5000000000000000      ,  -3.8171353589365117E-002
   3.6000000000000001      ,  -2.8952213160400857E-002
   3.7000000000000002      ,  -2.1971281008409178E-002
   3.8000000000000003      ,  -1.6682284560680268E-002
   3.9000000000000004      ,  -1.2672974724450958E-002
   4.0000000000000000      ,  -9.6320844574030590E-003
