r_fm,Vcoulomb_MeV,H_MeV,U_MeV
  5.00000000E-01,  1.79228701E+01,  5.70891025E-01,  1.73519791E+01
  5.18000000E-01,  1.79169732E+01,  5.70890614E-01,  1.73460826E+01
  5.36000000E-01,  1.79108677E+01,  5.70890193E-01,  1.73399775E+01
  5.54000000E-01,  1.79045537E+01,  5.70889764E-01,  1.73336640E+01
  5.72000000E-01,  1.78980312E+01,  5.70889326E-01,  1.73271419E+01
  5.90000000E-01,  1.78913001E+01,  5.70888879E-01,  1.73204113E+01
  6.08000000E-01,  1.78843605E+01,  5.70888423E-01,  1.73134721E+01
  6.26000000E-01,  1.78772124E+01,  5.70887959E-01,  1.73063244E+01
  6.44000000E-01,  1.78698557E+01,  5.70887485E-01,  1.72989682E+01
  6.62000000E-01,  1.78622905E+01,  5.70887003E-01,  1.72914035E+01
  6.80000000E-01,  1.78545168E+01,  5.70886512E-01,  1.72836303E+01
  6.98000000E-01,  1.78465345E+01,  5.70886013E-01,  1.72756485E+01
  7.16000000E-01,  1.78383437E+01,  5.70885504E-01,  1.72674582E+01
  7.34000000E-01,  1.78299443E+01,  5.70884987E-01,  1.72590593E+01
  7.52000000E-01,  1.78213364E+01,  5.70884461E-01,  1.72504520E+01
  7.70000000E-01,  1.78125200E+01,  5.70883926E-01,  1.72416361E+01
  7.88000000E-01,  1.78034950E+01,  5.70883382E-01,  1.72326117E+01
  8.06000000E-01,  1.77942615E+01,  5.70882830E-01,  1.72233787E+01
  8.24000000E-01,  1.77848195E+01,  5.70882268E-01,  1.72139372E+01
  8.42000000E-01,  1.77751690E+01,  5.70881698E-01,  1.72042873E+01
  8.60000000E-01,  1.77653098E+01,  5.70881119E-01,  1.71944287E+01
  8.78000000E-01,  1.77552422E+01,  5.70880532E-01,  1.71843617E+01
  8.96000000E-01,  1.77449660E+01,  5.70879935E-01,  1.71740861E+01
  9.14000000E-01,  1.77344813E+01,  5.70879330E-01,  1.71636020E+01
  9.32000000E-01,  1.77237881E+01,  5.70878716E-01,  1.71529094E+01
  9.50000000E-01,  1.77128863E+01,  5.70878093E-01,  1.71420082E+01
  9.68000000E-01,  1.77017760E+01,  5.70877461E-01,  1.71308985E+01
  9.86000000E-01,  1.76904571E+01,  5.70876821E-01,  1.71195803E+01
  1.00400000E+00,  1.76789298E+01,  5.70876171E-01,  1.71080536E+01
  1.02200000E+00,  1.76671938E+01,  5.70875513E-01,  1.70963183E+01
  1.04000000E+00,  1.76552494E+01,  5.70874846E-01,  1.70843745E+01
  1.05800000E+00,  1.76430964E+01,  5.70874171E-01,  1.70722222E+01
  1.07600000E+00,  1.76307348E+01,  5.70873486E-01,  1.70598614E+01
  1.09400000E+00,  1.76181648E+01,  5.70872793E-01,  1.70472920E+01
  1.11200000E+00,  1.76053862E+01,  5.70872091E-01,  1.70345141E+01
  1.13000000E+00,  1.75923990E+01,  5.70871380E-01,  1.70215277E+01
  1.14800000E+00,  1.75792034E+01,  5.70870660E-01,  1.70083327E+01
  1.16600000E+00,  1.75657992E+01,  5.70869932E-01,  1.69949292E+01
  1.18400000E+00,  1.75521864E+01,  5.70869194E-01,  1.69813172E+01
  1.20200000E+00,  1.75383651E+01,  5.70868448E-01,  1.69674967E+01
  1.22000000E+00,  1.75243353E+01,  5.70867693E-01,  1.69534676E+01
  1.23800000E+00,  1.75100970E+01,  5.70866930E-01,  1.69392301E+01
  1.25600000E+00,  1.74956501E+01,  5.70866157E-01,  1.69247839E+01
  1.27400000E+00,  1.74809947E+01,  5.70865376E-01,  1.69101293E+01
  1.29200000E+00,  1.74661307E+01,  5.70864586E-01,  1.68952661E+01
  1.31000000E+00,  1.74510582E+01,  5.70863787E-01,  1.68801944E+01
  1.32800000E+00,  1.74357772E+01,  5.70862979E-01,  1.68649142E+01
  1.34600000E+00,  1.74202876E+01,  5.70862163E-01,  1.68494255E+01
  1.36400000E+00,  1.74045895E+01,  5.70861337E-01,  1.68337282E+01
  1.38200000E+00,  1.73886829E+01,  5.70860503E-01,  1.68178224E+01
  1.40000000E+00,  1.73725677E+01,  5.70859660E-01,  1.68017081E+01
  1.41800000E+00,  1.73562440E+01,  5.70858809E-01,  1.67853852E+01
  1.43600000E+00,  1.73397118E+01,  5.70857948E-01,  1.67688538E+01
  1.45400000E+00,  1.73229710E+01,  5.70857079E-01,  1.67521139E+01
  1.47200000E+00,  1.73060217E+01,  5.70856201E-01,  1.67351655E+01
  1.49000000E+00,  1.72888638E+01,  5.70855314E-01,  1.67180085E+01
  1.50800000E+00,  1.72714975E+01,  5.70854418E-01,  1.67006430E+01
  1.52600000E+00,  1.72539225E+01,  5.70853514E-01,  1.66830690E+01
  1.54400000E+00,  1.72361391E+01,  5.70852601E-01,  1.66652865E+01
  1.56200000E+00,  1.72181471E+01,  5.70851678E-01,  1.66472954E+01
  1.58000000E+00,  1.71999466E+01,  5.70850748E-01,  1.66290958E+01
  1.59800000E+00,  1.71815375E+01,  5.70849808E-01,  1.66106877E+01
  1.61600000E+00,  1.71629199E+01,  5.70848859E-01,  1.65920710E+01
  1.63400000E+00,  1.71440938E+01,  5.70847902E-01,  1.65732459E+01
  1.65200000E+00,  1.71250591E+01,  5.70846936E-01,  1.65542122E+01
  1.67000000E+00,  1.71058159E+01,  5.70845961E-01,  1.65349699E+01
  1.68800000E+00,  1.70863641E+01,  5.70844977E-01,  1.65155192E+01
  1.70600000E+00,  1.70667039E+01,  5.70843985E-01,  1.64958599E+01
  1.72400000E+00,  1.70468351E+01,  5.70842984E-01,  1.64759921E+01
  1.74200000E+00,  1.70267577E+01,  5.70841973E-01,  1.64559157E+01
  1.76000000E+00,  1.70064718E+01,  5.70840955E-01,  1.64356309E+01
  1.77800000E+00,  1.69859774E+01,  5.70839927E-01,  1.64151375E+01
  1.79600000E+00,  1.69652744E+01,  5.70838890E-01,  1.63944356E+01
  1.81400000E+00,  1.69443630E+01,  5.70837845E-01,  1.63735251E+01
  1.83200000E+00,  1.69232429E+01,  5.70836791E-01,  1.63524061E+01
  1.85000000E+00,  1.69019144E+01,  5.70835728E-01,  1.63310786E+01
  1.86800000E+00,  1.68803773E+01,  5.70834656E-01,  1.63095426E+01
  1.88600000E+00,  1.68586316E+01,  5.70833576E-01,  1.62877981E+01
  1.90400000E+00,  1.68366775E+01,  5.70832487E-01,  1.62658450E+01
  1.92200000E+00,  1.68145148E+01,  5.70831389E-01,  1.62436834E+01
  1.94000000E+00,  1.67921435E+01,  5.70830282E-01,  1.62213132E+01
  1.95800000E+00,  1.67695637E+01,  5.70829166E-01,  1.61987346E+01
  1.97600000E+00,  1.67467754E+01,  5.70828042E-01,  1.61759474E+01
  1.99400000E+00,  1.67237786E+01,  5.70826908E-01,  1.61529517E+01
  2.01200000E+00,  1.67005732E+01,  5.70825766E-01,  1.61297474E+01
  2.03000000E+00,  1.66771593E+01,  5.70824615E-01,  1.61063347E+01
  2.04800000E+00,  1.66535368E+01,  5.70823456E-01,  1.60827134E+01
  2.06600000E+00,  1.66297058E+01,  5.70822287E-01,  1.60588836E+01
  2.08400000E+00,  1.66056663E+01,  5.70821110E-01,  1.60348452E+01
  2.10200000E+00,  1.65814183E+01,  5.70819924E-01,  1.60105983E+01
  2.12000000E+00,  1.65569617E+01,  5.70818729E-01,  1.59861429E+01
  2.13800000E+00,  1.65322965E+01,  5.70817525E-01,  1.59614790E+01
  2.15600000E+00,  1.65074229E+01,  5.70816313E-01,  1.59366066E+01
  2.17400000E+00,  1.64823407E+01,  5.70815092E-01,  1.59115256E+01
  2.19200000E+00,  1.64570499E+01,  5.70813861E-01,  1.58862361E+01
  2.21000000E+00,  1.64315506E+01,  5.70812623E-01,  1.58607380E+01
  2.22800000E+00,  1.64058428E+01,  5.70811375E-01,  1.58350315E+01
  2.24600000E+00,  1.63799265E+01,  5.70810118E-01,  1.58091164E+01
  2.26400000E+00,  1.63538016E+01,  5.70808853E-01,  1.57829928E+01
  2.28200000E+00,  1.63274682E+01,  5.70807579E-01,  1.57566606E+01
  2.30000000E+00,  1.63009262E+01,  5.70806296E-01,  1.57301199E+01
  2.31800000E+00,  1.62741757E+01,  5.70805005E-01,  1.57033707E+01
  2.33600000E+00,  1.62472167E+01,  5.70803704E-01,  1.56764130E+01
  2.35400000E+00,  1.62200492E+01,  5.70802395E-01,  1.56492468E+01
  2.37200000E+00,  1.61926731E+01,  5.70801077E-01,  1.56218720E+01
  2.39000000E+00,  1.61650884E+01,  5.70799750E-01,  1.55942887E+01
  2.40800000E+00,  1.61372953E+01,  5.70798414E-01,  1.55664969E+01
  2.42600000E+00,  1.61092936E+01,  5.70797070E-01,  1.55384965E+01
  2.44400000E+00,  1.60810833E+01,  5.70795717E-01,  1.55102876E+01
  2.46200000E+00,  1.60526646E+01,  5.70794354E-01,  1.54818702E+01
  2.48000000E+00,  1.60240372E+01,  5.70792984E-01,  1.54532443E+01
  2.49800000E+00,  1.59952014E+01,  5.70791604E-01,  1.54244098E+01
  2.51600000E+00,  1.59661570E+01,  5.70790216E-01,  1.53953668E+01
