 nuclei,nninteraction,density,pycno_rate
 C-C,M3Y-bcc-relax       ,   10000000000.000000      ,   88594124144555504.     
 C-C,M3Y-bcc-relax       ,   49900000000.000000      ,   3.1436043668044182E+030
 C-C,M3Y-bcc-relax       ,   89800000000.000000      ,   4.5442154847678346E+034
 C-C,M3Y-bcc-relax       ,   129700000000.00000      ,   1.1890528317516316E+037
 C-C,M3Y-bcc-relax       ,   169600000000.00000      ,   5.6781194043065202E+038
 C-C,M3Y-bcc-relax       ,   209500000000.00000      ,   1.0696086411568412E+040
 C-C,M3Y-bcc-relax       ,   249400000000.00000      ,   1.1243468034100339E+041
 C-C,M3Y-bcc-relax       ,   289300000000.00000      ,   7.9250411340120912E+041
 C-C,M3Y-bcc-relax       ,   329200000000.00000      ,   4.1952335815838486E+042
 C-C,M3Y-bcc-relax       ,   369100000000.00000      ,   1.7833047243492150E+043
 C-C,M3Y-bcc-relax       ,   409000000000.00000      ,   6.3919843622897219E+043
 C-C,M3Y-bcc-relax       ,   448900000000.00000      ,   2.0005334401620311E+044
 C-C,M3Y-bcc-relax       ,   488800000000.00000      ,   5.6101777157935563E+044
 C-C,M3Y-bcc-relax       ,   528700000000.00000      ,   1.4346079572803246E+045
 C-C,M3Y-bcc-relax       ,   568600000000.00000      ,   3.3875091865127807E+045
 C-C,M3Y-bcc-relax       ,   608500000000.00000      ,   7.5013831974338578E+045
 C-C,M3Y-bcc-relax       ,   648400000000.00000      ,   1.5683332671724456E+046
 C-C,M3Y-bcc-relax       ,   688300000000.00000      ,   3.1269654032392386E+046
 C-C,M3Y-bcc-relax       ,   728200000000.00000      ,   5.9773259620862479E+046
 C-C,M3Y-bcc-relax       ,   768100000000.00000      ,   1.1042492178191249E+047
 C-C,M3Y-bcc-relax       ,   808000000000.00000      ,   1.9337268258371861E+047
 C-C,M3Y-bcc-relax       ,   847900000000.00000      ,   3.2865915812115520E+047
 C-C,M3Y-bcc-relax       ,   887800000000.00000      ,   5.4347699319974613E+047
 C-C,M3Y-bcc-relax       ,   927700000000.00000      ,   8.7744872495919435E+047
 C-C,M3Y-bcc-relax       ,   967600000000.00000      ,   1.3777916345813488E+048
 C-C,M3Y-bcc-relax       ,   1007500000000.0000      ,   2.1300590613852955E+048
 C-C,M3Y-bcc-relax       ,   1047400000000.0000      ,   3.2134940392233440E+048
