 nuclei,nninteraction,density,pycno_rate
 C-C,RMF-bcc-relax       ,   10000000000.000000      ,   1.4414951306124874E+017
 C-C,RMF-bcc-relax       ,   49900000000.000000      ,   4.8359353070809050E+030
 C-C,RMF-bcc-relax       ,   89800000000.000000      ,   7.2467061367139643E+034
 C-C,RMF-bcc-relax       ,   129700000000.00000      ,   1.8772765652442843E+037
 C-C,RMF-bcc-relax       ,   169600000000.00000      ,   8.8888098468066877E+038
 C-C,RMF-bcc-relax       ,   209500000000.00000      ,   1.6618257828149446E+040
 C-C,RMF-bcc-relax       ,   249400000000.00000      ,   1.7348288630739241E+041
 C-C,RMF-bcc-relax       ,   289300000000.00000      ,   1.2149126402018014E+042
 C-C,RMF-bcc-relax       ,   329200000000.00000      ,   6.3917749737760000E+042
 C-C,RMF-bcc-relax       ,   369100000000.00000      ,   2.7008743762767666E+043
 C-C,RMF-bcc-relax       ,   409000000000.00000      ,   9.6246270230643790E+043
 C-C,RMF-bcc-relax       ,   448900000000.00000      ,   2.9949263631658621E+044
 C-C,RMF-bcc-relax       ,   488800000000.00000      ,   8.3502118331882946E+044
 C-C,RMF-bcc-relax       ,   528700000000.00000      ,   2.1226724524105021E+045
 C-C,RMF-bcc-relax       ,   568600000000.00000      ,   4.9814356100870164E+045
 C-C,RMF-bcc-relax       ,   608500000000.00000      ,   1.0958608637409884E+046
 C-C,RMF-bcc-relax       ,   648400000000.00000      ,   2.2744047986518431E+046
 C-C,RMF-bcc-relax       ,   688300000000.00000      ,   4.4950089103298858E+046
 C-C,RMF-bcc-relax       ,   728200000000.00000      ,   8.4815313767150997E+046
 C-C,RMF-bcc-relax       ,   768100000000.00000      ,   1.5443372291329694E+047
 C-C,RMF-bcc-relax       ,   808000000000.00000      ,   2.7068443782725997E+047
 C-C,RMF-bcc-relax       ,   847900000000.00000      ,   4.6055428583816585E+047
 C-C,RMF-bcc-relax       ,   887800000000.00000      ,   7.6255111000469223E+047
 C-C,RMF-bcc-relax       ,   927700000000.00000      ,   1.2330039925660786E+048
 C-C,RMF-bcc-relax       ,   967600000000.00000      ,   1.9395760965000639E+048
 C-C,RMF-bcc-relax       ,   1007500000000.0000      ,   3.0050786290019096E+048
 C-C,RMF-bcc-relax       ,   1047400000000.0000      ,   4.5456748183042895E+048
 C-C,RMF-bcc-relax       ,   1087300000000.0000      ,   6.7692985389634037E+048
 C-C,RMF-bcc-relax       ,   1127200000000.0000      ,   9.9342708421389959E+048
 C-C,RMF-bcc-relax       ,   1167100000000.0000      ,   1.4398557151746337E+049
 C-C,RMF-bcc-relax       ,   1207000000000.0000      ,   2.0732209173355355E+049
 C-C,RMF-bcc-relax       ,   1246900000000.0000      ,   2.8984080783643979E+049
 C-C,RMF-bcc-relax       ,   1286800000000.0000      ,   4.0082017922661104E+049
 C-C,RMF-bcc-relax       ,   1326700000000.0000      ,   5.4480488858819624E+049
 C-C,RMF-bcc-relax       ,   1366600000000.0000      ,   7.3620805504042386E+049
 C-C,RMF-bcc-relax       ,   1406500000000.0000      ,   9.8317574602754414E+049
 C-C,RMF-bcc-relax       ,   1446400000000.0000      ,   1.3019079243510445E+050
 C-C,RMF-bcc-relax       ,   1486300000000.0000      ,   1.7061018699038335E+050
 C-C,RMF-bcc-relax       ,   1526200000000.0000      ,   2.2262173459607571E+050
 C-C,RMF-bcc-relax       ,   1566100000000.0000      ,   2.8664045716020249E+050
 C-C,RMF-bcc-relax       ,   1606000000000.0000      ,   3.6709017199787678E+050
 C-C,RMF-bcc-relax       ,   1645900000000.0000      ,   4.6926424290476662E+050
 C-C,RMF-bcc-relax       ,   1685800000000.0000      ,   5.9174199042245659E+050
 C-C,RMF-bcc-relax       ,   1725700000000.0000      ,   7.4203992360800655E+050
 C-C,RMF-bcc-relax       ,   1765600000000.0000      ,   9.2545936670988136E+050
 C-C,RMF-bcc-relax       ,   1805500000000.0000      ,   1.1480783543018831E+051
 C-C,RMF-bcc-relax       ,   1845400000000.0000      ,   1.4168207364416491E+051
 C-C,RMF-bcc-relax       ,   1885300000000.0000      ,   1.7395480477324391E+051
 C-C,RMF-bcc-relax       ,   1925200000000.0000      ,   2.1252094605529763E+051
 C-C,RMF-bcc-relax       ,   1965100000000.0000      ,   2.5840663326332172E+051
 C-C,RMF-bcc-relax       ,   2005000000000.0000      ,   3.1279523183797387E+051
