 nuclei,nninteraction,density,pycno_rate
 C-C,M3Y-bcc-relax       ,   8000000000.0000000      ,   612444573475939.88     
 C-C,M3Y-bcc-relax       ,   8310000000.0000000      ,   1447443999638717.5     
 C-C,M3Y-bcc-relax       ,   8620000000.0000000      ,   3297904742816920.0     
 C-C,M3Y-bcc-relax       ,   8930000000.0000000      ,   7262621580628160.0     
 C-C,M3Y-bcc-relax       ,   9240000000.0000000      ,   15511179897424212.     
 C-C,M3Y-bcc-relax       ,   9550000000.0000000      ,   32201705940978660.     
 C-C,M3Y-bcc-relax       ,   9860000000.0000000      ,   65031802405191512.     
 C-C,M3Y-bcc-relax       ,   10170000000.000000      ,   1.2815956454606504E+017
 C-C,M3Y-bcc-relax       ,   10480000000.000000      ,   2.4644847462080502E+017
 C-C,M3Y-bcc-relax       ,   10790000000.000000      ,   4.6386259718089312E+017
 C-C,M3Y-bcc-relax       ,   11100000000.000000      ,   8.5549349383205197E+017
 C-C,M3Y-bcc-relax       ,   11410000000.000000      ,   1.5466711444975232E+018
 C-C,M3Y-bcc-relax       ,   11720000000.000000      ,   2.7482533221937137E+018
 C-C,M3Y-bcc-relax       ,   12030000000.000000      ,   4.7963402575495444E+018
 C-C,M3Y-bcc-relax       ,   12340000000.000000      ,   8.2273585493509908E+018
 C-C,M3Y-bcc-relax       ,   12650000000.000000      ,   1.3913763717030269E+019
 C-C,M3Y-bcc-relax       ,   12960000000.000000      ,   2.3170524661722436E+019
 C-C,M3Y-bcc-relax       ,   13270000000.000000      ,   3.8065103453522100E+019
 C-C,M3Y-bcc-relax       ,   13580000000.000000      ,   6.1717079348596818E+019
 C-C,M3Y-bcc-relax       ,   13890000000.000000      ,   9.8839722551262806E+019
 C-C,M3Y-bcc-relax       ,   14200000000.000000      ,   1.5635451817800070E+020
 C-C,M3Y-bcc-relax       ,   14510000000.000000      ,   2.4456291997590946E+020
 C-C,M3Y-bcc-relax       ,   14820000000.000000      ,   3.7824137485504519E+020
 C-C,M3Y-bcc-relax       ,   15130000000.000000      ,   5.7907845455282523E+020
 C-C,M3Y-bcc-relax       ,   15440000000.000000      ,   8.7780177862904211E+020
 C-C,M3Y-bcc-relax       ,   15750000000.000000      ,   1.3181137793098986E+021
 C-C,M3Y-bcc-relax       ,   16060000000.000000      ,   1.9619321255186433E+021
 C-C,M3Y-bcc-relax       ,   16370000000.000000      ,   2.8923351466058779E+021
 C-C,M3Y-bcc-relax       ,   16680000000.000000      ,   4.2312303865623840E+021
 C-C,M3Y-bcc-relax       ,   16990000000.000000      ,   6.1362106565100642E+021
 C-C,M3Y-bcc-relax       ,   17300000000.000000      ,   8.8374340430003259E+021
 C-C,M3Y-bcc-relax       ,   17610000000.000000      ,   1.2630983703806561E+022
 C-C,M3Y-bcc-relax       ,   17920000000.000000      ,   1.7915860090856610E+022
 C-C,M3Y-bcc-relax       ,   18230000000.000000      ,   2.5241988385302169E+022
 C-C,M3Y-bcc-relax       ,   18540000000.000000      ,   3.5335321770473216E+022
 C-C,M3Y-bcc-relax       ,   18850000000.000000      ,   4.9095265601519108E+022
 C-C,M3Y-bcc-relax       ,   19160000000.000000      ,   6.7840155090608850E+022
 C-C,M3Y-bcc-relax       ,   19470000000.000000      ,   9.3240761725943141E+022
 C-C,M3Y-bcc-relax       ,   19780000000.000000      ,   1.2727506078303305E+023
 C-C,M3Y-bcc-relax       ,   20090000000.000000      ,   1.7293699011540049E+023
 C-C,M3Y-bcc-relax       ,   20400000000.000000      ,   2.3349707985916898E+023
 C-C,M3Y-bcc-relax       ,   20710000000.000000      ,   3.1409564251490960E+023
 C-C,M3Y-bcc-relax       ,   21020000000.000000      ,   4.1968116377007255E+023
 C-C,M3Y-bcc-relax       ,   21330000000.000000      ,   5.5819985598254815E+023
 C-C,M3Y-bcc-relax       ,   21640000000.000000      ,   7.3908938858172180E+023
 C-C,M3Y-bcc-relax       ,   21950000000.000000      ,   9.7422243308513616E+023
 C-C,M3Y-bcc-relax       ,   22260000000.000000      ,   1.2784487783798984E+024
 C-C,M3Y-bcc-relax       ,   22570000000.000000      ,   1.6703159067663901E+024
