 nuclei,nninteraction,density,pycno_rate
 C-C,RMF-bcc-relax       ,   8000000000.0000000      ,   999368846756342.25     
 C-C,RMF-bcc-relax       ,   8310000000.0000000      ,   2360788614806767.0     
 C-C,RMF-bcc-relax       ,   8620000000.0000000      ,   5376426323166883.0     
 C-C,RMF-bcc-relax       ,   8930000000.0000000      ,   11834583061191416.     
 C-C,RMF-bcc-relax       ,   9240000000.0000000      ,   25264563800865244.     
 C-C,RMF-bcc-relax       ,   9550000000.0000000      ,   52427184367675848.     
 C-C,RMF-bcc-relax       ,   9860000000.0000000      ,   1.0583204838847677E+017
 C-C,RMF-bcc-relax       ,   10170000000.000000      ,   2.0847745074866749E+017
 C-C,RMF-bcc-relax       ,   10480000000.000000      ,   4.0073159881189344E+017
 C-C,RMF-bcc-relax       ,   10790000000.000000      ,   7.5394347545482086E+017
 C-C,RMF-bcc-relax       ,   11100000000.000000      ,   1.3899224495759329E+018
 C-C,RMF-bcc-relax       ,   11410000000.000000      ,   2.5118782729651932E+018
 C-C,RMF-bcc-relax       ,   11720000000.000000      ,   4.4615556777054500E+018
 C-C,RMF-bcc-relax       ,   12030000000.000000      ,   7.7834220341459046E+018
 C-C,RMF-bcc-relax       ,   12340000000.000000      ,   1.3346089828444211E+019
 C-C,RMF-bcc-relax       ,   12650000000.000000      ,   2.2561769365178171E+019
 C-C,RMF-bcc-relax       ,   12960000000.000000      ,   3.7557883196525789E+019
 C-C,RMF-bcc-relax       ,   13270000000.000000      ,   6.1678055015424713E+019
 C-C,RMF-bcc-relax       ,   13580000000.000000      ,   9.9965251893217739E+019
 C-C,RMF-bcc-relax       ,   13890000000.000000      ,   1.6003567642584429E+020
 C-C,RMF-bcc-relax       ,   14200000000.000000      ,   2.5306891173540207E+020
 C-C,RMF-bcc-relax       ,   14510000000.000000      ,   3.9569763071025801E+020
 C-C,RMF-bcc-relax       ,   14820000000.000000      ,   6.1176931571325770E+020
 C-C,RMF-bcc-relax       ,   15130000000.000000      ,   9.3627442454860464E+020
 C-C,RMF-bcc-relax       ,   15440000000.000000      ,   1.4187651933478652E+021
 C-C,RMF-bcc-relax       ,   15750000000.000000      ,   2.1296902653666287E+021
 C-C,RMF-bcc-relax       ,   16060000000.000000      ,   3.1688239222540421E+021
 C-C,RMF-bcc-relax       ,   16370000000.000000      ,   4.6699731414920510E+021
 C-C,RMF-bcc-relax       ,   16680000000.000000      ,   6.8294398366762632E+021
 C-C,RMF-bcc-relax       ,   16990000000.000000      ,   9.9008451952431983E+021
 C-C,RMF-bcc-relax       ,   17300000000.000000      ,   1.4254523487349169E+022
 C-C,RMF-bcc-relax       ,   17610000000.000000      ,   2.0366625003148197E+022
 C-C,RMF-bcc-relax       ,   17920000000.000000      ,   2.8878574400400477E+022
 C-C,RMF-bcc-relax       ,   18230000000.000000      ,   4.0674163177946826E+022
 C-C,RMF-bcc-relax       ,   18540000000.000000      ,   5.6919598795385318E+022
 C-C,RMF-bcc-relax       ,   18850000000.000000      ,   7.9058907759320618E+022
 C-C,RMF-bcc-relax       ,   19160000000.000000      ,   1.0920866726533659E+023
 C-C,RMF-bcc-relax       ,   19470000000.000000      ,   1.5004992835654677E+023
 C-C,RMF-bcc-relax       ,   19780000000.000000      ,   2.0475456197687181E+023
 C-C,RMF-bcc-relax       ,   20090000000.000000      ,   2.7812435297692720E+023
 C-C,RMF-bcc-relax       ,   20400000000.000000      ,   3.7539971964706147E+023
 C-C,RMF-bcc-relax       ,   20710000000.000000      ,   5.0481965598649406E+023
