 nuclei,nninteraction,density,pycno_rate
 C-C,G05High,   1000000000.0000000      ,   4.6281223139109488E-012
 C-C,G05High,   1990000000.0000000      ,   9.8008102920474176E-003
 C-C,G05High,   2980000000.0000000      ,   1023.7731903178033     
 C-C,G05High,   3970000000.0000000      ,   2437511.3943747357     
 C-C,G05High,   4960000000.0000000      ,   803970345.76591372     
 C-C,G05High,   5950000000.0000000      ,   79354086079.924713     
 C-C,G05High,   6940000000.0000000      ,   3488102003374.8906     
 C-C,G05High,   7930000000.0000000      ,   86025555404290.766     
 C-C,G05High,   8920000000.0000000      ,   1377021080033305.8     
 C-C,G05High,   9910000000.0000000      ,   15771502060617394.     
 C-C,G05High,   10900000000.000000      ,   1.3838951697803925E+017
 C-C,G05High,   11890000000.000000      ,   9.7769351762626726E+017
 C-C,G05High,   12880000000.000000      ,   5.7719385175523625E+018
 C-C,G05High,   13870000000.000000      ,   2.9298885007546839E+019
 C-C,G05High,   14860000000.000000      ,   1.3076645268485022E+020
 C-C,G05High,   15850000000.000000      ,   5.2238985795406705E+020
 C-C,G05High,   16840000000.000000      ,   1.8950009184359434E+021
 C-C,G05High,   17830000000.000000      ,   6.3165262604604172E+021
 C-C,G05High,   18820000000.000000      ,   1.9537364372501236E+022
 C-C,G05High,   19810000000.000000      ,   5.6539147379127081E+022
 C-C,G05High,   20800000000.000000      ,   1.5415449212973694E+023
 C-C,G05High,   21790000000.000000      ,   3.9835639117380520E+023
 C-C,G05High,   22780000000.000000      ,   9.8066271383045209E+023
 C-C,G05High,   23770000000.000000      ,   2.3100730198864448E+024
 C-C,G05High,   24760000000.000000      ,   5.2271924535644664E+024
 C-C,G05High,   25750000000.000000      ,   1.1400383029778743E+025
 C-C,G05High,   26740000000.000000      ,   2.4036723344364039E+025
 C-C,G05High,   27730000000.000000      ,   4.9122929536807311E+025
 C-C,G05High,   28720000000.000000      ,   9.7536668543444493E+025
 C-C,G05High,   29710000000.000000      ,   1.8855530060520455E+026
 C-C,G05High,   30700000000.000000      ,   3.5556178117590093E+026
 C-C,G05High,   31690000000.000000      ,   6.5513899937891166E+026
 C-C,G05High,   32680000000.000000      ,   1.1812969812086355E+027
 C-C,G05High,   33670000000.000000      ,   2.0873471906893720E+027
 C-C,G05High,   34660000000.000000      ,   3.6189946576546374E+027
 C-C,G05High,   35650000000.000000      ,   6.1636499584113903E+027
 C-C,G05High,   36640000000.000000      ,   1.0322878883158368E+028
 C-C,G05High,   37630000000.000000      ,   1.7017443228059715E+028
 C-C,G05High,   38620000000.000000      ,   2.7637706887506811E+028
 C-C,G05High,   39610000000.000000      ,   4.4256487669927540E+028
 C-C,G05High,   40600000000.000000      ,   6.9926967964826077E+028
 C-C,G05High,   41590000000.000000      ,   1.0909532416108936E+029
 C-C,G05High,   42580000000.000000      ,   1.6816663651542821E+029
 C-C,G05High,   43570000000.000000      ,   2.5627379958887950E+029
 C-C,G05High,   44560000000.000000      ,   3.8631303854861416E+029
 C-C,G05High,   45550000000.000000      ,   5.7632679580875659E+029
 C-C,G05High,   46540000000.000000      ,   8.5133581919254200E+029
 C-C,G05High,   47530000000.000000      ,   1.2457479867366908E+030
 C-C,G05High,   48520000000.000000      ,   1.8065025808230893E+030
 C-C,G05High,   49510000000.000000      ,   2.5971463298179617E+030
 C-C,G05High,   50500000000.000000      ,   3.7030826529372027E+030
