 nuclei,nninteraction,density,pycno_rate
 C-C,G05Low,   1000000000.0000000      ,   2.1347229374279712E-012
 C-C,G05Low,   1990000000.0000000      ,   4.4932520604373735E-003
 C-C,G05Low,   2980000000.0000000      ,   467.48492436407395     
 C-C,G05Low,   3970000000.0000000      ,   1109663.3811249216     
 C-C,G05Low,   4960000000.0000000      ,   365098414.20616657     
 C-C,G05Low,   5950000000.0000000      ,   35960628825.381401     
 C-C,G05Low,   6940000000.0000000      ,   1577800214999.8774     
 C-C,G05Low,   7930000000.0000000      ,   38849316382163.219     
 C-C,G05Low,   8920000000.0000000      ,   620952962668844.75     
 C-C,G05Low,   9910000000.0000000      ,   7102466107281690.0     
 C-C,G05Low,   10900000000.000000      ,   62244833421393608.     
 C-C,G05Low,   11890000000.000000      ,   4.3924364585852134E+017
 C-C,G05Low,   12880000000.000000      ,   2.5903593495204260E+018
 C-C,G05Low,   13870000000.000000      ,   1.3135705555657525E+019
 C-C,G05Low,   14860000000.000000      ,   5.8571647975400784E+019
 C-C,G05Low,   15850000000.000000      ,   2.3377413546009815E+020
 C-C,G05Low,   16840000000.000000      ,   8.4730768990769761E+020
 C-C,G05Low,   17830000000.000000      ,   2.8220022163036197E+021
 C-C,G05Low,   18820000000.000000      ,   8.7218361082133831E+021
 C-C,G05Low,   19810000000.000000      ,   2.5221342112154860E+022
 C-C,G05Low,   20800000000.000000      ,   6.8717116266690533E+022
 C-C,G05Low,   21790000000.000000      ,   1.7745246299026696E+023
 C-C,G05Low,   22780000000.000000      ,   4.3655818314895339E+023
 C-C,G05Low,   23770000000.000000      ,   1.0277092822266032E+024
 C-C,G05Low,   24760000000.000000      ,   2.3240436515453048E+024
 C-C,G05Low,   25750000000.000000      ,   5.0656467589257610E+024
 C-C,G05Low,   26740000000.000000      ,   1.0674271446168759E+025
 C-C,G05Low,   27730000000.000000      ,   2.1802287899876126E+025
 C-C,G05Low,   28720000000.000000      ,   4.3266064688714614E+025
 C-C,G05Low,   29710000000.000000      ,   8.3596151900044683E+025
 C-C,G05Low,   30700000000.000000      ,   1.5755662878614572E+026
 C-C,G05Low,   31690000000.000000      ,   2.9015814705809046E+026
 C-C,G05Low,   32680000000.000000      ,   5.2293226219987566E+026
 C-C,G05Low,   33670000000.000000      ,   9.2357267953789826E+026
 C-C,G05Low,   34660000000.000000      ,   1.6005126617073413E+027
 C-C,G05Low,   35650000000.000000      ,   2.7246355331895917E+027
