 nuclei,nninteraction,density,pycno_rate
 C-C,M3Y-SPVH            ,   1000000000.0000000      ,   9.9982562764795847E-016
 C-C,M3Y-SPVH            ,   1990000000.0000000      ,   2.0487112429185059E-006
 C-C,M3Y-SPVH            ,   2980000000.0000000      ,  0.20953709953332703     
 C-C,M3Y-SPVH            ,   3970000000.0000000      ,   490.92529678019150     
 C-C,M3Y-SPVH            ,   4960000000.0000000      ,   159845.63471560311     
 C-C,M3Y-SPVH            ,   5950000000.0000000      ,   15604046.004394379     
 C-C,M3Y-SPVH            ,   6940000000.0000000      ,   679537933.20986319     
 C-C,M3Y-SPVH            ,   7930000000.0000000      ,   16624829476.751165     
 C-C,M3Y-SPVH            ,   8920000000.0000000      ,   263965653664.26898     
 C-C,M3Y-SPVH            ,   9910000000.0000000      ,   3001508409173.4209     
 C-C,M3Y-SPVH            ,   10900000000.000000      ,   26175800867332.711     
 C-C,M3Y-SPVH            ,   11890000000.000000      ,   183820765135007.12     
 C-C,M3Y-SPVH            ,   12880000000.000000      ,   1079551447269062.6     
 C-C,M3Y-SPVH            ,   13870000000.000000      ,   5452066020403483.0     
 C-C,M3Y-SPVH            ,   14860000000.000000      ,   24213371954907540.     
 C-C,M3Y-SPVH            ,   15850000000.000000      ,   96328860724072192.     
 C-C,M3Y-SPVH            ,   16840000000.000000      ,   3.4763247209481843E+017
 C-C,M3Y-SPVH            ,   17830000000.000000      ,   1.1551380766748828E+018
 C-C,M3Y-SPVH            ,   18820000000.000000      ,   3.5558637730404915E+018
 C-C,M3Y-SPVH            ,   19810000000.000000      ,   1.0259270924768928E+019
 C-C,M3Y-SPVH            ,   20800000000.000000      ,   2.7876799048500437E+019
 C-C,M3Y-SPVH            ,   21790000000.000000      ,   7.1775842416838885E+019
 C-C,M3Y-SPVH            ,   22780000000.000000      ,   1.7602270254962639E+020
 C-C,M3Y-SPVH            ,   23770000000.000000      ,   4.1340662673427117E+020
 C-C,M3Y-SPVH            ,   24760000000.000000      ,   9.3278842915427215E+020
 C-C,M3Y-SPVH            ,   25750000000.000000      ,   2.0283581424591084E+021
 C-C,M3Y-SPVH            ,   26740000000.000000      ,   4.2671097074724535E+021
 C-C,M3Y-SPVH            ,   27730000000.000000      ,   8.6935554920199309E+021
 C-C,M3Y-SPVH            ,   28720000000.000000      ,   1.7219017249822524E+022
 C-C,M3Y-SPVH            ,   29710000000.000000      ,   3.3224693059840819E+022
 C-C,M3Y-SPVH            ,   30700000000.000000      ,   6.2478937808436887E+022
 C-C,M3Y-SPVH            ,   31690000000.000000      ,   1.1487873661330246E+023
 C-C,M3Y-SPVH            ,   32680000000.000000      ,   2.0670400532526197E+023
 C-C,M3Y-SPVH            ,   33670000000.000000      ,   3.6470538034380521E+023
 C-C,M3Y-SPVH            ,   34660000000.000000      ,   6.3085011972062719E+023
 C-C,M3Y-SPVH            ,   35650000000.000000      ,   1.0731175717726358E+024
 C-C,M3Y-SPVH            ,   36640000000.000000      ,   1.7947824624819947E+024
 C-C,M3Y-SPVH            ,   37630000000.000000      ,   2.9521145152613620E+024
 C-C,M3Y-SPVH            ,   38620000000.000000      ,   4.7878288158588055E+024
 C-C,M3Y-SPVH            ,   39610000000.000000      ,   7.6657334114454524E+024
 C-C,M3Y-SPVH            ,   40600000000.000000      ,   1.2086158283434304E+025
 C-C,M3Y-SPVH            ,   41590000000.000000      ,   1.8831595504284319E+025
 C-C,M3Y-SPVH            ,   42580000000.000000      ,   2.9004277126725326E+025
 C-C,M3Y-SPVH            ,   43570000000.000000      ,   4.4172993296116101E+025
 C-C,M3Y-SPVH            ,   44560000000.000000      ,   6.6568900927620801E+025
 C-C,M3Y-SPVH            ,   45550000000.000000      ,   9.9361411977027931E+025
 C-C,M3Y-SPVH            ,   46540000000.000000      ,   1.4690347711411504E+026
 C-C,M3Y-SPVH            ,   47530000000.000000      ,   2.1532492146764980E+026
 C-C,M3Y-SPVH            ,   48520000000.000000      ,   3.1361668623093653E+026
 C-C,M3Y-SPVH            ,   49510000000.000000      ,   4.4979086994234189E+026
 C-C,M3Y-SPVH            ,   50500000000.000000      ,   6.3938580977917364E+026
 C-C,M3Y-SPVH            ,   51490000000.000000      ,   9.0212431749645608E+026
 C-C,M3Y-SPVH            ,   52480000000.000000      ,   1.2634620669611985E+027
 C-C,M3Y-SPVH            ,   53470000000.000000      ,   1.7566527696924792E+027
 C-C,M3Y-SPVH            ,   54460000000.000000      ,   2.4251556193443011E+027
 C-C,M3Y-SPVH            ,   55450000000.000000      ,   3.3259277146458570E+027
 C-C,M3Y-SPVH            ,   56440000000.000000      ,   4.5331840817438688E+027
 C-C,M3Y-SPVH            ,   57430000000.000000      ,   6.1430677697304159E+027
 C-C,M3Y-SPVH            ,   58420000000.000000      ,   8.2624325376591673E+027
 C-C,M3Y-SPVH            ,   59410000000.000000      ,   1.1059199109657195E+028
 C-C,M3Y-SPVH            ,   60400000000.000000      ,   1.4738729861674085E+028
 C-C,M3Y-SPVH            ,   61390000000.000000      ,   1.9484436056192175E+028
 C-C,M3Y-SPVH            ,   62380000000.000000      ,   2.5679718000549922E+028
 C-C,M3Y-SPVH            ,   63370000000.000000      ,   3.3638029386976166E+028
 C-C,M3Y-SPVH            ,   64360000000.000000      ,   4.3848776887087682E+028
 C-C,M3Y-SPVH            ,   65350000000.000000      ,   5.7008563973527792E+028
 C-C,M3Y-SPVH            ,   66340000000.000000      ,   7.3600448050610221E+028
 C-C,M3Y-SPVH            ,   67330000000.000000      ,   9.4641807899275554E+028
 C-C,M3Y-SPVH            ,   68320000000.000000      ,   1.2122015099984289E+029
 C-C,M3Y-SPVH            ,   69310000000.000000      ,   1.5466040943547035E+029
 C-C,M3Y-SPVH            ,   70300000000.000000      ,   1.9656725646283966E+029
 C-C,M3Y-SPVH            ,   71290000000.000000      ,   2.4886837483941480E+029
 C-C,M3Y-SPVH            ,   72280000000.000000      ,   3.1386507857933217E+029
 C-C,M3Y-SPVH            ,   73270000000.000000      ,   3.9433279464628798E+029
 C-C,M3Y-SPVH            ,   74260000000.000000      ,   4.9365601405486592E+029
 C-C,M3Y-SPVH            ,   75250000000.000000      ,   6.1592304660849235E+029
 C-C,M3Y-SPVH            ,   76240000000.000000      ,   7.6603452855495935E+029
 C-C,M3Y-SPVH            ,   77230000000.000000      ,   9.4985426295550668E+029
 C-C,M3Y-SPVH            ,   78220000000.000000      ,   1.1743915143077289E+030
 C-C,M3Y-SPVH            ,   79210000000.000000      ,   1.4480148813563407E+030
 C-C,M3Y-SPVH            ,   80200000000.000000      ,   1.7754352018367855E+030
 C-C,M3Y-SPVH            ,   81190000000.000000      ,   2.1748361193250146E+030
 C-C,M3Y-SPVH            ,   82180000000.000000      ,   2.6583580833889626E+030
 C-C,M3Y-SPVH            ,   83170000000.000000      ,   3.2340836527358057E+030
 C-C,M3Y-SPVH            ,   84160000000.000000      ,   3.9286729268843904E+030
 C-C,M3Y-SPVH            ,   85150000000.000000      ,   4.7651579889959943E+030
 C-C,M3Y-SPVH            ,   86140000000.000000      ,   5.7489402407378037E+030
 C-C,M3Y-SPVH            ,   87130000000.000000      ,   6.9358540985313048E+030
 C-C,M3Y-SPVH            ,   88120000000.000000      ,   8.3313775987936815E+030
 C-C,M3Y-SPVH            ,   89110000000.000000      ,   1.0001397146296028E+031
 C-C,M3Y-SPVH            ,   90100000000.000000      ,   1.1959614068566753E+031
 C-C,M3Y-SPVH            ,   91090000000.000000      ,   1.4293048385030333E+031
 C-C,M3Y-SPVH            ,   92080000000.000000      ,   1.7012541742487920E+031
 C-C,M3Y-SPVH            ,   93070000000.000000      ,   2.0253258692859067E+031
 C-C,M3Y-SPVH            ,   94060000000.000000      ,   2.3996729120072097E+031
 C-C,M3Y-SPVH            ,   95050000000.000000      ,   2.8416056456855809E+031
 C-C,M3Y-SPVH            ,   96040000000.000000      ,   3.3585295764746681E+031
 C-C,M3Y-SPVH            ,   97030000000.000000      ,   3.9571424177409439E+031
 C-C,M3Y-SPVH            ,   98020000000.000000      ,   4.6608649438248299E+031
 C-C,M3Y-SPVH            ,   99010000000.000000      ,   5.4746974599563773E+031
 C-C,M3Y-SPVH            ,   100000000000.00000      ,   6.4143404782153348E+031
 C-C,M3Y-bcc-static      ,   1000000000.0000000      ,   3.9150430316899443E-014
 C-C,M3Y-bcc-static      ,   1990000000.0000000      ,   8.1351070029553582E-005
 C-C,M3Y-bcc-static      ,   2980000000.0000000      ,   8.3829025058554141     
