 nuclei,nninteraction,density,pycno_rate
 C-C,RMF-SPVH            ,   1000000000.0000000      ,   1.6592919787876117E-015
 C-C,RMF-SPVH            ,   1990000000.0000000      ,   3.3859882382114891E-006
 C-C,RMF-SPVH            ,   2980000000.0000000      ,  0.34527815944054441     
 C-C,RMF-SPVH            ,   3970000000.0000000      ,   806.98752627443457     
 C-C,RMF-SPVH            ,   4960000000.0000000      ,   262205.07581969613     
 C-C,RMF-SPVH            ,   5950000000.0000000      ,   25548519.588184346     
 C-C,RMF-SPVH            ,   6940000000.0000000      ,   1110715893.4592085     
 C-C,RMF-SPVH            ,   7930000000.0000000      ,   27130811388.447353     
 C-C,RMF-SPVH            ,   8920000000.0000000      ,   430143373281.77588     
 C-C,RMF-SPVH            ,   9910000000.0000000      ,   4884287413901.7383     
 C-C,RMF-SPVH            ,   10900000000.000000      ,   42538956893500.516     
 C-C,RMF-SPVH            ,   11890000000.000000      ,   298353555034129.25     
 C-C,RMF-SPVH            ,   12880000000.000000      ,   1750050399546295.2     
 C-C,RMF-SPVH            ,   13870000000.000000      ,   8827883085573986.0     
 C-C,RMF-SPVH            ,   14860000000.000000      ,   39161032212219616.     
 C-C,RMF-SPVH            ,   15850000000.000000      ,   1.5562223651512525E+017
 C-C,RMF-SPVH            ,   16840000000.000000      ,   5.6100026855807283E+017
 C-C,RMF-SPVH            ,   17830000000.000000      ,   1.8621456856727731E+018
 C-C,RMF-SPVH            ,   18820000000.000000      ,   5.7262457549756744E+018
 C-C,RMF-SPVH            ,   19810000000.000000      ,   1.6504154569693207E+019
 C-C,RMF-SPVH            ,   20800000000.000000      ,   4.4799919050298565E+019
 C-C,RMF-SPVH            ,   21790000000.000000      ,   1.1523242386180176E+020
 C-C,RMF-SPVH            ,   22780000000.000000      ,   2.8231285806385653E+020
 C-C,RMF-SPVH            ,   23770000000.000000      ,   6.6238043480540630E+020
 C-C,RMF-SPVH            ,   24760000000.000000      ,   1.4930792119822537E+021
 C-C,RMF-SPVH            ,   25750000000.000000      ,   3.2435049802748212E+021
 C-C,RMF-SPVH            ,   26740000000.000000      ,   6.8166908937570794E+021
 C-C,RMF-SPVH            ,   27730000000.000000      ,   1.3874129187481479E+022
 C-C,RMF-SPVH            ,   28720000000.000000      ,   2.7452556801002072E+022
 C-C,RMF-SPVH            ,   29710000000.000000      ,   5.2917350154018994E+022
 C-C,RMF-SPVH            ,   30700000000.000000      ,   9.9409707580681225E+022
 C-C,RMF-SPVH            ,   31690000000.000000      ,   1.8259419157366872E+023
 C-C,RMF-SPVH            ,   32680000000.000000      ,   3.2820185953254480E+023
 C-C,RMF-SPVH            ,   33670000000.000000      ,   5.7845589319153231E+023
 C-C,RMF-SPVH            ,   34660000000.000000      ,   9.9949235280698812E+023
 C-C,RMF-SPVH            ,   35650000000.000000      ,   1.6982942690616282E+024
 C-C,RMF-SPVH            ,   36640000000.000000      ,   2.8370986112218603E+024
 C-C,RMF-SPVH            ,   37630000000.000000      ,   4.6609491682582274E+024
 C-C,RMF-SPVH            ,   38620000000.000000      ,   7.5498121680823671E+024
 C-C,RMF-SPVH            ,   39610000000.000000      ,   1.2072040042832896E+025
 C-C,RMF-SPVH            ,   40600000000.000000      ,   1.9006910345444766E+025
 C-C,RMF-SPVH            ,   41590000000.000000      ,   2.9570945325473005E+025
 C-C,RMF-SPVH            ,   42580000000.000000      ,   4.5471769153122285E+025
 C-C,RMF-SPVH            ,   43570000000.000000      ,   6.9130213263679571E+025
 C-C,RMF-SPVH            ,   44560000000.000000      ,   1.0397178794979517E+026
 C-C,RMF-SPVH            ,   45550000000.000000      ,   1.5482706079059859E+026
 C-C,RMF-SPVH            ,   46540000000.000000      ,   2.2823861432758257E+026
 C-C,RMF-SPVH            ,   47530000000.000000      ,   3.3308025068260169E+026
 C-C,RMF-SPVH            ,   48520000000.000000      ,   4.8213739304986838E+026
