 nuclei,nninteraction,density,pycno_rate
 C-C,SAOPAULO-SPVH       ,   1000000000.0000000      ,   8.0325583532260863E-016
 C-C,SAOPAULO-SPVH       ,   1990000000.0000000      ,   1.6587062296634408E-006
 C-C,SAOPAULO-SPVH       ,   2980000000.0000000      ,  0.17101205398204755     
 C-C,SAOPAULO-SPVH       ,   3970000000.0000000      ,   405.50545127396293     
 C-C,SAOPAULO-SPVH       ,   4960000000.0000000      ,   133177.33061557912     
 C-C,SAOPAULO-SPVH       ,   5950000000.0000000      ,   12981259.905621316     
 C-C,SAOPAULO-SPVH       ,   6940000000.0000000      ,   564532337.69738483     
 C-C,SAOPAULO-SPVH       ,   7930000000.0000000      ,   13793109343.280293     
 C-C,SAOPAULO-SPVH       ,   8920000000.0000000      ,   218730356606.25443     
 C-C,SAOPAULO-SPVH       ,   9910000000.0000000      ,   2484157926264.4722     
 C-C,SAOPAULO-SPVH       ,   10900000000.000000      ,   21638883359717.230     
 C-C,SAOPAULO-SPVH       ,   11890000000.000000      ,   151788443697478.97     
 C-C,SAOPAULO-SPVH       ,   12880000000.000000      ,   890447342139593.50     
 C-C,SAOPAULO-SPVH       ,   13870000000.000000      ,   4492169766263964.5     
 C-C,SAOPAULO-SPVH       ,   14860000000.000000      ,   19929120317402872.     
 C-C,SAOPAULO-SPVH       ,   15850000000.000000      ,   79201467211121392.     
 C-C,SAOPAULO-SPVH       ,   16840000000.000000      ,   2.8552617491166374E+017
 C-C,SAOPAULO-SPVH       ,   17830000000.000000      ,   9.4778964130140314E+017
 C-C,SAOPAULO-SPVH       ,   18820000000.000000      ,   2.9145953821410550E+018
 C-C,SAOPAULO-SPVH       ,   19810000000.000000      ,   8.4005249200925256E+018
 C-C,SAOPAULO-SPVH       ,   20800000000.000000      ,   2.2802914788286058E+019
 C-C,SAOPAULO-SPVH       ,   21790000000.000000      ,   5.8652050604173935E+019
 C-C,SAOPAULO-SPVH       ,   22780000000.000000      ,   1.4369117859502150E+020
 C-C,SAOPAULO-SPVH       ,   23770000000.000000      ,   3.3712707910054484E+020
 C-C,SAOPAULO-SPVH       ,   24760000000.000000      ,   7.5989148982101580E+020
 C-C,SAOPAULO-SPVH       ,   25750000000.000000      ,   1.6506762912058096E+021
 C-C,SAOPAULO-SPVH       ,   26740000000.000000      ,   3.4689312103995319E+021
 C-C,SAOPAULO-SPVH       ,   27730000000.000000      ,   7.0599037994423382E+021
 C-C,SAOPAULO-SPVH       ,   28720000000.000000      ,   1.3968285613403916E+022
 C-C,SAOPAULO-SPVH       ,   29710000000.000000      ,   2.6922910872159459E+022
 C-C,SAOPAULO-SPVH       ,   30700000000.000000      ,   5.0572304783721550E+022
 C-C,SAOPAULO-SPVH       ,   31690000000.000000      ,   9.2881106734488148E+022
 C-C,SAOPAULO-SPVH       ,   32680000000.000000      ,   1.6693000634379828E+023
 C-C,SAOPAULO-SPVH       ,   33670000000.000000      ,   2.9417994782412334E+023
 C-C,SAOPAULO-SPVH       ,   34660000000.000000      ,   5.0823929648461973E+023
 C-C,SAOPAULO-SPVH       ,   35650000000.000000      ,   8.6346385821562701E+023
 C-C,SAOPAULO-SPVH       ,   36640000000.000000      ,   1.4422634708320845E+024
 C-C,SAOPAULO-SPVH       ,   37630000000.000000      ,   2.3690813545549531E+024
 C-C,SAOPAULO-SPVH       ,   38620000000.000000      ,   3.8368396469790795E+024
 C-C,SAOPAULO-SPVH       ,   39610000000.000000      ,   6.1340384017176568E+024
 C-C,SAOPAULO-SPVH       ,   40600000000.000000      ,   9.6561067334651514E+024
 C-C,SAOPAULO-SPVH       ,   41590000000.000000      ,   1.5020237060790944E+025
 C-C,SAOPAULO-SPVH       ,   42580000000.000000      ,   2.3092489807043282E+025
 C-C,SAOPAULO-SPVH       ,   43570000000.000000      ,   3.5100261684502494E+025
 C-C,SAOPAULO-SPVH       ,   44560000000.000000      ,   5.2779790619018339E+025
 C-C,SAOPAULO-SPVH       ,   45550000000.000000      ,   7.8578688229645487E+025
 C-C,SAOPAULO-SPVH       ,   46540000000.000000      ,   1.1581071710908383E+026
 C-C,SAOPAULO-SPVH       ,   47530000000.000000      ,   1.6896863715516376E+026
 C-C,SAOPAULO-SPVH       ,   48520000000.000000      ,   2.4452393451158654E+026
 C-C,SAOPAULO-SPVH       ,   49510000000.000000      ,   3.5077018223829797E+026
 C-C,SAOPAULO-SPVH       ,   50500000000.000000      ,   4.9872817525871693E+026
 C-C,SAOPAULO-SPVH       ,   51490000000.000000      ,   7.0380973267141329E+026
 C-C,SAOPAULO-SPVH       ,   52480000000.000000      ,   9.8591204848699373E+026
 C-C,SAOPAULO-SPVH       ,   53470000000.000000      ,   1.3710336926869292E+027
 C-C,SAOPAULO-SPVH       ,   54460000000.000000      ,   1.8931595935050813E+027
 C-C,SAOPAULO-SPVH       ,   55450000000.000000      ,   2.5968390522939823E+027
 C-C,SAOPAULO-SPVH       ,   56440000000.000000      ,   3.5401317192560946E+027
 C-C,SAOPAULO-SPVH       ,   57430000000.000000      ,   4.7982675507924295E+027
 C-C,SAOPAULO-SPVH       ,   58420000000.000000      ,   6.4548988318884394E+027
 C-C,SAOPAULO-SPVH       ,   59410000000.000000      ,   8.6414544045938986E+027
 C-C,SAOPAULO-SPVH       ,   60400000000.000000      ,   1.1518719169789306E+028
 C-C,SAOPAULO-SPVH       ,   61390000000.000000      ,   1.5230433686547499E+028
 C-C,SAOPAULO-SPVH       ,   62380000000.000000      ,   2.0076792480917032E+028
 C-C,SAOPAULO-SPVH       ,   63370000000.000000      ,   2.6303506340856635E+028
 C-C,SAOPAULO-SPVH       ,   64360000000.000000      ,   3.4294066834276361E+028
 C-C,SAOPAULO-SPVH       ,   65350000000.000000      ,   4.4594306831668836E+028
 C-C,SAOPAULO-SPVH       ,   66340000000.000000      ,   5.7583360191311077E+028
 C-C,SAOPAULO-SPVH       ,   67330000000.000000      ,   7.4058726144381060E+028
 C-C,SAOPAULO-SPVH       ,   68320000000.000000      ,   9.4873329906589576E+028
 C-C,SAOPAULO-SPVH       ,   69310000000.000000      ,   1.2106651909123445E+029
 C-C,SAOPAULO-SPVH       ,   70300000000.000000      ,   1.5389734600690784E+029
 C-C,SAOPAULO-SPVH       ,   71290000000.000000      ,   1.9487862662046903E+029
 C-C,SAOPAULO-SPVH       ,   72280000000.000000      ,   2.4581679019857826E+029
 C-C,SAOPAULO-SPVH       ,   73270000000.000000      ,   3.0889082228198351E+029
 C-C,SAOPAULO-SPVH       ,   74260000000.000000      ,   3.8675828850367572E+029
 C-C,SAOPAULO-SPVH       ,   75250000000.000000      ,   4.8262996216712634E+029
 C-C,SAOPAULO-SPVH       ,   76240000000.000000      ,   6.0035529801095627E+029
 C-C,SAOPAULO-SPVH       ,   77230000000.000000      ,   7.4454116563971359E+029
