 nuclei,rxncalcdesc, nninteraction,cell,lattapprox, density,pycno_rate
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   5000000000.0000000      ,   1.3355458788446755E-025
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   5140000000.0000000      ,   4.0477560979139521E-025
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   5280000000.0000000      ,   1.1851599308395910E-024
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   5420000000.0000000      ,   3.3606964710564898E-024
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   5560000000.0000000      ,   9.2282872128786710E-024
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   5700000000.0000000      ,   2.4640697668990605E-023
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   5840000000.0000000      ,   6.3969960867726571E-023
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   5980000000.0000000      ,   1.6185196914173876E-022
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   6120000000.0000000      ,   3.9932799565894026E-022
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   6260000000.0000000      ,   9.6256623105294870E-022
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   6400000000.0000000      ,   2.2676603528756911E-021
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   6540000000.0000000      ,   5.2310652914824404E-021
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   6680000000.0000000      ,   1.1813068744774829E-020
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   6820000000.0000000      ,   2.6184685004359657E-020
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   6960000000.0000000      ,   5.6921853196330237E-020
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   7100000000.0000000      ,   1.2158379943739900E-019
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   7240000000.0000000      ,   2.5534792062877458E-019
 O-O                 ,SPVH                ,M3Y                 ,bcc                 ,static              ,   7380000000.0000000      ,   5.2779800778920739E-019
