 nuclei,rxncalcdesc, nninteraction,cell,lattapprox, density,pycno_rate
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   5000000000.0000000      ,   3.1949805811728881E-025
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   5140000000.0000000      ,   9.6708779029632179E-025
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   5280000000.0000000      ,   2.8279571920666955E-024
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   5420000000.0000000      ,   8.0088686746229726E-024
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   5560000000.0000000      ,   2.1963940396702268E-023
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   5700000000.0000000      ,   5.8572025358196072E-023
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   5840000000.0000000      ,   1.5186643020978232E-022
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   5980000000.0000000      ,   3.8375324689580124E-022
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   6120000000.0000000      ,   9.4560915197188077E-022
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   6260000000.0000000      ,   2.2764564471870819E-021
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   6400000000.0000000      ,   5.3561414576061329E-021
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   6540000000.0000000      ,   1.2339781142561186E-020
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   6680000000.0000000      ,   2.7830484741377987E-020
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   6820000000.0000000      ,   6.1608832818950655E-020
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   6960000000.0000000      ,   1.3375452949013369E-019
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   7100000000.0000000      ,   2.8532157224406971E-019
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   7240000000.0000000      ,   5.9843298900456040E-019
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   7380000000.0000000      ,   1.2352911619488701E-018
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   7520000000.0000000      ,   2.5059184447963930E-018
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   7660000000.0000000      ,   5.0124515375674606E-018
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   7800000000.0000000      ,   9.8865303521613868E-018
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   7940000000.0000000      ,   1.9213980880918317E-017
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   8080000000.0000000      ,   3.6854738249798215E-017
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   8220000000.0000000      ,   6.9699278530084411E-017
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   8360000000.0000000      ,   1.3031223364559917E-016
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   8500000000.0000000      ,   2.4082095879474672E-016
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   8640000000.0000000      ,   4.3949768083331846E-016
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   8780000000.0000000      ,   7.9321657459197168E-016
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   8920000000.0000000      ,   1.4167246677928492E-015
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   9060000000.0000000      ,   2.5041166083526079E-015
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   9200000000.0000000      ,   4.3804816874384813E-015
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   9340000000.0000000      ,   7.5878359812242133E-015
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   9480000000.0000000      ,   1.3023233189717068E-014
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   9620000000.0000000      ,   2.2158687531578017E-014
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   9760000000.0000000      ,   3.7316099751068101E-014
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   9900000000.0000000      ,   6.2387765711176904E-014
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   10040000000.000000      ,   1.0331290454899256E-013
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   10180000000.000000      ,   1.6991003858399073E-013
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   10320000000.000000      ,   2.7707008407324573E-013
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   10460000000.000000      ,   4.4822008054610987E-013
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   10600000000.000000      ,   7.1987598311052424E-013
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   10740000000.000000      ,   1.1479994729140695E-012
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   10880000000.000000      ,   1.8180995655469917E-012
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   11020000000.000000      ,   2.8601305907659084E-012
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   11160000000.000000      ,   4.4705661919809798E-012
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   11300000000.000000      ,   6.9395365490639956E-012
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   11440000000.000000      ,   1.0699279475224926E-011
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   11580000000.000000      ,   1.6412849552470543E-011
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   11720000000.000000      ,   2.5010403472184611E-011
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   11860000000.000000      ,   3.7901333793604350E-011
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   12000000000.000000      ,   5.7108185835223370E-011
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   12140000000.000000      ,   8.5601029052149783E-011
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   12280000000.000000      ,   1.2752646799283041E-010
 O-O                 ,SPVH                ,RMF                 ,bcc                 ,static              ,   12420000000.000000      ,   1.8923294356446562E-010
