 nuclei,nn-interation,density,pycno_rate
 C-C,M3Y                 ,   1000000000.0000000      ,   1.5541557178448684E-018
 C-C,M3Y                 ,   1990000000.0000000      ,   3.3275989936365381E-009
 C-C,M3Y                 ,   2980000000.0000000      ,   3.5157018653485830E-004
 C-C,M3Y                 ,   3970000000.0000000      ,  0.84841619556996839
 C-C,M3Y                 ,   4960000000.0000000      ,   284.95930825044144
 C-C,M3Y                 ,   5950000000.0000000      ,   28210.025151669703
 C-C,M3Y                 ,   6940000000.0000000      ,   1243339.1593385886
 C-C,M3Y                 ,   7930000000.0000000      ,   30767016.122030336
 C-C,M3Y                 ,   8920000000.0000000      ,   493997277.71826601
 C-C,M3Y                 ,   9910000000.0000000      ,   5682802198.0926323
 C-C,M3Y                 ,   10900000000.000000      ,   50029515898.493462
 C-C,M3Y                 ,   11890000000.000000      ,   355261223089.71570
 C-C,M3Y                 ,   12880000000.000000      ,   2109403261405.2344
 C-C,M3Y                 ,   13870000000.000000      ,   10816808434417.410
 C-C,M3Y                 ,   14860000000.000000      ,   48502653164195.562
 C-C,M3Y                 ,   15850000000.000000      ,   193824758378537.28
 C-C,M3Y                 ,   16840000000.000000      ,   703900079614076.25
 C-C,M3Y                 ,   17830000000.000000      ,   2344960525903210.5
 C-C,M3Y                 ,   18820000000.000000      ,   7257080831509956.0
 C-C,M3Y                 ,   19810000000.000000      ,   21002615276207036.
 C-C,M3Y                 ,   20800000000.000000      ,   57295599031231336.
 C-C,M3Y                 ,   21790000000.000000      ,   1.4810399822787773E+017
 C-C,M3Y                 ,   22780000000.000000      ,   3.6496128507873606E+017
 C-C,M3Y                 ,   23770000000.000000      ,   8.6007834999935642E+017
 C-C,M3Y                 ,   24760000000.000000      ,   1.9471976301810260E+018
 C-C,M3Y                 ,   25750000000.000000      ,   4.2527457050539295E+018
 C-C,M3Y                 ,   26740000000.000000      ,   8.9629749425324472E+018
 C-C,M3Y                 ,   27730000000.000000      ,   1.8346618433892282E+019
 C-C,M3Y                 ,   28720000000.000000      ,   3.6455329340635152E+019
 C-C,M3Y                 ,   29710000000.000000      ,   7.0469636180719854E+019
 C-C,M3Y                 ,   30700000000.000000      ,   1.3308140410292522E+020
 C-C,M3Y                 ,   31690000000.000000      ,   2.4535284348827569E+020
 C-C,M3Y                 ,   32680000000.000000      ,   4.4293828583181379E+020
 C-C,M3Y                 ,   33670000000.000000      ,   7.8299165463865773E+020
 C-C,M3Y                 ,   34660000000.000000      ,   1.3594917165605569E+021
 C-C,M3Y                 ,   35650000000.000000      ,   2.3169868773890038E+021
 C-C,M3Y                 ,   36640000000.000000      ,   3.8848720064948118E+021
 C-C,M3Y                 ,   37630000000.000000      ,   6.4137799226231001E+021
 C-C,M3Y                 ,   38620000000.000000      ,   1.0439050632031357E+022
 C-C,M3Y                 ,   39610000000.000000      ,   1.6721807934128579E+022
 C-C,M3Y                 ,   40600000000.000000      ,   2.6484329713492115E+022
 C-C,M3Y                 ,   41590000000.000000      ,   4.1388473536440913E+022
 C-C,M3Y                 ,   42580000000.000000      ,   6.3909476736904475E+022
 C-C,M3Y                 ,   43570000000.000000      ,   9.7625012233001387E+022
