nuclei,nn-interation,density,pycno_rate
C-C,SAOPAULO,  1.00000E+09,  7.60352E-16
C-C,SAOPAULO,  1.99000E+09,  1.57446E-06
C-C,SAOPAULO,  2.98000E+09,  1.62203E-01
C-C,SAOPAULO,  3.97000E+09,  3.83068E+02
C-C,SAOPAULO,  4.96000E+09,  1.34719E+05
C-C,SAOPAULO,  5.95000E+09,  1.31505E+07
C-C,SAOPAULO,  6.94000E+09,  5.72122E+08
C-C,SAOPAULO,  7.93000E+09,  1.39856E+10
C-C,SAOPAULO,  8.92000E+09,  2.21947E+11
C-C,SAOPAULO,  9.91000E+09,  2.52442E+12
C-C,SAOPAULO,  1.09000E+10,  2.19761E+13
C-C,SAOPAULO,  1.18900E+10,  1.54283E+14
C-C,SAOPAULO,  1.28800E+10,  9.04968E+14
C-C,SAOPAULO,  1.38700E+10,  4.56612E+15
C-C,SAOPAULO,  1.48600E+10,  2.02582E+16
C-C,SAOPAULO,  1.58500E+10,  8.05009E+16
C-C,SAOPAULO,  1.68400E+10,  2.90763E+17
C-C,SAOPAULO,  1.78300E+10,  9.63539E+17
C-C,SAOPAULO,  1.88200E+10,  2.96665E+18
C-C,SAOPAULO,  1.98100E+10,  8.54288E+18
C-C,SAOPAULO,  2.08000E+10,  2.31916E+19
C-C,SAOPAULO,  2.17900E+10,  5.96625E+19
C-C,SAOPAULO,  2.27800E+10,  1.46335E+20
C-C,SAOPAULO,  2.37700E+10,  3.43279E+20
C-C,SAOPAULO,  2.47600E+10,  7.73677E+20
C-C,SAOPAULO,  2.57500E+10,  1.68225E+21
C-C,SAOPAULO,  2.67400E+10,  3.52999E+21
C-C,SAOPAULO,  2.77300E+10,  7.19451E+21
C-C,SAOPAULO,  2.87200E+10,  1.42348E+22
C-C,SAOPAULO,  2.97100E+10,  2.74005E+22
C-C,SAOPAULO,  3.07000E+10,  5.15295E+22
C-C,SAOPAULO,  3.16900E+10,  9.46071E+22
C-C,SAOPAULO,  3.26800E+10,  1.70091E+23
C-C,SAOPAULO,  3.36700E+10,  2.99437E+23
C-C,SAOPAULO,  3.46600E+10,  5.17772E+23
C-C,SAOPAULO,  3.56500E+10,  8.78818E+23
C-C,SAOPAULO,  3.66400E+10,  1.46744E+24
C-C,SAOPAULO,  3.76300E+10,  2.41265E+24
C-C,SAOPAULO,  3.86200E+10,  3.91039E+24
C-C,SAOPAULO,  3.96100E+10,  6.23729E+24
C-C,SAOPAULO,  4.06000E+10,  9.83596E+24
C-C,SAOPAULO,  4.15900E+10,  1.53027E+25
C-C,SAOPAULO,  4.25800E+10,  2.35199E+25
C-C,SAOPAULO,  4.35700E+10,  3.57509E+25
C-C,SAOPAULO,  4.45600E+10,  5.37740E+25
C-C,SAOPAULO,  4.55500E+10,  7.99749E+25
C-C,SAOPAULO,  4.65400E+10,  1.17812E+26
C-C,SAOPAULO,  4.75300E+10,  1.72158E+26
C-C,SAOPAULO,  4.85200E+10,  2.48784E+26
C-C,SAOPAULO,  4.95100E+10,  3.56859E+26
C-C,SAOPAULO,  5.05000E+10,  5.08037E+26
C-C,SAOPAULO,  5.14900E+10,  7.16633E+26
C-C,SAOPAULO,  5.24800E+10,  1.00354E+27
C-C,SAOPAULO,  5.34700E+10,  1.39540E+27
C-C,SAOPAULO,  5.44600E+10,  1.92709E+27
C-C,SAOPAULO,  5.54500E+10,  2.64414E+27
C-C,SAOPAULO,  5.64400E+10,  3.60582E+27
C-C,SAOPAULO,  5.74300E+10,  4.87704E+27
C-C,SAOPAULO,  5.84200E+10,  6.56712E+27
C-C,SAOPAULO,  5.94100E+10,  8.79993E+27
C-C,SAOPAULO,  6.04000E+10,  1.16989E+28
C-C,SAOPAULO,  6.13900E+10,  1.55063E+28
C-C,SAOPAULO,  6.23800E+10,  2.04034E+28
C-C,SAOPAULO,  6.33700E+10,  2.67840E+28
C-C,SAOPAULO,  6.43600E+10,  3.48936E+28
C-C,SAOPAULO,  6.53500E+10,  4.52769E+28
C-C,SAOPAULO,  6.63400E+10,  5.85346E+28
C-C,SAOPAULO,  6.73300E+10,  7.53796E+28
C-C,SAOPAULO,  6.83200E+10,  9.65262E+28
C-C,SAOPAULO,  6.93100E+10,  1.23125E+29
C-C,SAOPAULO,  7.03000E+10,  1.56453E+29
C-C,SAOPAULO,  7.12900E+10,  1.98055E+29
C-C,SAOPAULO,  7.22800E+10,  2.49795E+29
C-C,SAOPAULO,  7.32700E+10,  3.13921E+29
C-C,SAOPAULO,  7.42600E+10,  3.93146E+29
C-C,SAOPAULO,  7.52500E+10,  4.90729E+29
C-C,SAOPAULO,  7.62400E+10,  6.10589E+29
C-C,SAOPAULO,  7.72300E+10,  7.57421E+29
C-C,SAOPAULO,  7.82200E+10,  9.34994E+29
C-C,SAOPAULO,  7.92100E+10,  1.15161E+30
C-C,SAOPAULO,  8.02000E+10,  1.41512E+30
C-C,SAOPAULO,  8.11900E+10,  1.73478E+30
C-C,SAOPAULO,  8.21800E+10,  2.11629E+30
C-C,SAOPAULO,  8.31700E+10,  2.57784E+30
C-C,SAOPAULO,  8.41600E+10,  3.13469E+30
C-C,SAOPAULO,  8.51500E+10,  3.79272E+30
C-C,SAOPAULO,  8.61400E+10,  4.58603E+30
C-C,SAOPAULO,  8.71300E+10,  5.52614E+30
C-C,SAOPAULO,  8.81200E+10,  6.64541E+30
C-C,SAOPAULO,  8.91100E+10,  7.97390E+30
C-C,SAOPAULO,  9.01000E+10,  9.54083E+30
C-C,SAOPAULO,  9.10900E+10,  1.13936E+31
C-C,SAOPAULO,  9.20800E+10,  1.35773E+31
C-C,SAOPAULO,  9.30700E+10,  1.61343E+31
C-C,SAOPAULO,  9.40600E+10,  1.91614E+31
C-C,SAOPAULO,  9.50500E+10,  2.26633E+31
