r_fm,Vcoulomb_MeV,Vscreen_MeV,Vcoulomb_screened_MeV,Vnuclear_MeV,Vtotal_MeV
  5.00000000E-01,  1.79228701E+01,  1.89830508E+00,  1.60245650E+01,  5.21524761E+01,  6.81770411E+01
  5.18000000E-01,  1.79169732E+01,  1.89372881E+00,  1.60232444E+01,  3.48197380E+01,  5.08429824E+01
  5.36000000E-01,  1.79108677E+01,  1.88915254E+00,  1.60217152E+01,  2.02044184E+01,  3.62261336E+01
  5.54000000E-01,  1.79045537E+01,  1.88457627E+00,  1.60199775E+01,  7.91547650E+00,  2.39354540E+01
  5.72000000E-01,  1.78980312E+01,  1.88000000E+00,  1.60180312E+01, -2.37949027E+00,  1.36385409E+01
  5.90000000E-01,  1.78913001E+01,  1.87542373E+00,  1.60158764E+01, -1.09638645E+01,  5.05201188E+00
  6.08000000E-01,  1.78843605E+01,  1.87084746E+00,  1.60135131E+01, -1.80798720E+01, -2.06635895E+00
  6.26000000E-01,  1.78772124E+01,  1.86627119E+00,  1.60109412E+01, -2.39350455E+01, -7.92410433E+00
  6.44000000E-01,  1.78698557E+01,  1.86169492E+00,  1.60081608E+01, -2.87075663E+01, -1.26994055E+01
  6.62000000E-01,  1.78622905E+01,  1.85711864E+00,  1.60051719E+01, -3.25506996E+01, -1.65455278E+01
  6.80000000E-01,  1.78545168E+01,  1.85254237E+00,  1.60019744E+01, -3.55964941E+01, -1.95945197E+01
  6.98000000E-01,  1.78465345E+01,  1.84796610E+00,  1.59985684E+01, -3.79588807E+01, -2.19603123E+01
  7.16000000E-01,  1.78383437E+01,  1.84338983E+00,  1.59949538E+01, -3.97362784E+01, -2.37413246E+01
  7.34000000E-01,  1.78299443E+01,  1.83881356E+00,  1.59911308E+01, -4.10137932E+01, -2.50226625E+01
  7.52000000E-01,  1.78213364E+01,  1.83423729E+00,  1.59870991E+01, -4.18650802E+01, -2.58779811E+01
  7.70000000E-01,  1.78125200E+01,  1.82966102E+00,  1.59828590E+01, -4.23539254E+01, -2.63710664E+01
  7.88000000E-01,  1.78034950E+01,  1.82508475E+00,  1.59784103E+01, -4.25355934E+01, -2.65571831E+01
  8.06000000E-01,  1.77942615E+01,  1.82050847E+00,  1.59737531E+01, -4.24579786E+01, -2.64842255E+01
  8.24000000E-01,  1.77848195E+01,  1.81593220E+00,  1.59688873E+01, -4.21625915E+01, -2.61937042E+01
  8.42000000E-01,  1.77751690E+01,  1.81135593E+00,  1.59638130E+01, -4.16854053E+01, -2.57215923E+01
  8.60000000E-01,  1.77653098E+01,  1.80677966E+00,  1.59585302E+01, -4.10575844E+01, -2.50990542E+01
  8.78000000E-01,  1.77552422E+01,  1.80220339E+00,  1.59530388E+01, -4.03061124E+01, -2.43530736E+01
  8.96000000E-01,  1.77449660E+01,  1.79762712E+00,  1.59473389E+01, -3.94543349E+01, -2.35069960E+01
  9.14000000E-01,  1.77344813E+01,  1.79305085E+00,  1.59414305E+01, -3.85224294E+01, -2.25809989E+01
  9.32000000E-01,  1.77237881E+01,  1.78847458E+00,  1.59353135E+01, -3.75278121E+01, -2.15924986E+01
  9.50000000E-01,  1.77128863E+01,  1.78389831E+00,  1.59289880E+01, -3.64854915E+01, -2.05565035E+01
  9.68000000E-01,  1.77017760E+01,  1.77932203E+00,  1.59224540E+01, -3.54083761E+01, -1.94859222E+01
  9.86000000E-01,  1.76904571E+01,  1.77474576E+00,  1.59157114E+01, -3.43075415E+01, -1.83918302E+01
  1.00400000E+00,  1.76789298E+01,  1.77016949E+00,  1.59087603E+01, -3.31924642E+01, -1.72837039E+01
  1.02200000E+00,  1.76671938E+01,  1.76559322E+00,  1.59016006E+01, -3.20712245E+01, -1.61696239E+01
  1.04000000E+00,  1.76552494E+01,  1.76101695E+00,  1.58942324E+01, -3.09506850E+01, -1.50564526E+01
  1.05800000E+00,  1.76430964E+01,  1.75644068E+00,  1.58866557E+01, -2.98366456E+01, -1.39499899E+01
  1.07600000E+00,  1.76307348E+01,  1.75186441E+00,  1.58788704E+01, -2.87339796E+01, -1.28551092E+01
  1.09400000E+00,  1.76181648E+01,  1.74728814E+00,  1.58708766E+01, -2.76467528E+01, -1.17758762E+01
  1.11200000E+00,  1.76053862E+01,  1.74271186E+00,  1.58626743E+01, -2.65783277E+01, -1.07156534E+01
  1.13000000E+00,  1.75923990E+01,  1.73813559E+00,  1.58542635E+01, -2.55314552E+01, -9.67719176E+00
  1.14800000E+00,  1.75792034E+01,  1.73355932E+00,  1.58456441E+01, -2.45083545E+01, -8.66271045E+00
  1.16600000E+00,  1.75657992E+01,  1.72898305E+00,  1.58368161E+01, -2.35107836E+01, -7.67396750E+00
  1.18400000E+00,  1.75521864E+01,  1.72440678E+00,  1.58277796E+01, -2.25401010E+01, -6.71232134E+00
  1.20200000E+00,  1.75383651E+01,  1.71983051E+00,  1.58185346E+01, -2.15973197E+01, -5.77878507E+00
  1.22000000E+00,  1.75243353E+01,  1.71525424E+00,  1.58090811E+01, -2.06831550E+01, -4.87407387E+00
  1.23800000E+00,  1.75100970E+01,  1.71067797E+00,  1.57994190E+01, -1.97980658E+01, -3.99864675E+00
  1.25600000E+00,  1.74956501E+01,  1.70610169E+00,  1.57895484E+01, -1.89422915E+01, -3.15274307E+00
  1.27400000E+00,  1.74809947E+01,  1.70152542E+00,  1.57794693E+01, -1.81158839E+01, -2.33641468E+00
  1.29200000E+00,  1.74661307E+01,  1.69694915E+00,  1.57691816E+01, -1.73187355E+01, -1.54955395E+00
  1.31000000E+00,  1.74510582E+01,  1.69237288E+00,  1.57586853E+01, -1.65506038E+01, -7.91918449E-01
  1.32800000E+00,  1.74357772E+01,  1.68779661E+00,  1.57479806E+01, -1.58111331E+01, -6.31524832E-02
  1.34600000E+00,  1.74202876E+01,  1.68322034E+00,  1.57370673E+01, -1.50998733E+01,  6.37194036E-01
  1.36400000E+00,  1.74045895E+01,  1.67864407E+00,  1.57259455E+01, -1.44162963E+01,  1.30964912E+00
  1.38200000E+00,  1.73886829E+01,  1.67406780E+00,  1.57146151E+01, -1.37598108E+01,  1.95480434E+00
