temp,adjust
   142500000.00000000      ,   1.4596279242348240     
   155980000.00000000      ,   2.3640699847489683     
   169460000.00000000      ,   5.1711969009217382     
   182940000.00000000      ,   13.840483565466132     
   196420000.00000000      ,   39.858833435687281     
   209900000.00000000      ,   114.31472398043172     
   223380000.00000000      ,   314.69335703471205     
   236860000.00000000      ,   817.37817987712060     
   250340000.00000000      ,   1987.4778443955581     
   263820000.00000000      ,   4511.3470698408901     
   277300000.00000000      ,   9561.7732358943540     
   290780000.00000000      ,   18964.325965892011     
   304260000.00000000      ,   35314.969479108717     
   317740000.00000000      ,   61994.805423552956     
   331220000.00000000      ,   103043.85028042471     
   344700000.00000000      ,   162888.61276654349     
   358180000.00000000      ,   245956.24852085058     
   371660000.00000000      ,   356237.43979729281     
   385140000.00000000      ,   496871.57253176859     
   398620000.00000000      ,   669819.72495769057     
   412100000.00000000      ,   875668.70412924804     
   425580000.00000000      ,   1113581.3747201397     
   439060000.00000000      ,   1381382.8191164664     
   452540000.00000000      ,   1675753.6145658442     
   466020000.00000000      ,   1992492.4837732813     
   479500000.00000000      ,   2326809.8546976782     
   492980000.00000000      ,   2673619.0617956831     
   506460000.00000000      ,   3027800.2874357682     
   519940000.00000000      ,   3384421.5201969389     
   533420000.00000000      ,   3738909.1605249811     
   546900000.00000000      ,   4087167.5471209837     
   560380000.00000000      ,   4425651.3276133453     
   573860000.00000000      ,   4751397.3757182667     
   587340000.00000000      ,   5062024.2003793437     
   600820000.00000000      ,   5355706.9090606393     
   614300000.00000000      ,   5631135.1681244196     
   627780000.00000000      ,   5887460.5737157334     
   641260000.00000000      ,   6124238.6516061481     
   654740000.00000000      ,   6341369.5110893101     
   668220000.00000000      ,   6539040.0881215092     
   681700000.00000000      ,   6717669.9786935560     
   695180000.00000000      ,   6877862.1024614489     
   708660000.00000000      ,   7020358.8443512004     
   722140000.00000000      ,   7146003.8810196724     
   735620000.00000000      ,   7255709.5867421990     
   749100000.00000000      ,   7350429.7052167160     
   762580000.00000000      ,   7431136.8469619984     
   776060000.00000000      ,   7498804.3062171256     
   789540000.00000000      ,   7554391.6695649866     
   803020000.00000000      ,   7598833.6972522186     
   816500000.00000000      ,   7633031.9867376592     
