temp_k,wkb_unscreened,wkb_screened,delta_wkb,exp_delta_wkb,turn1_unscreened,turn2_unscreened,turn1_screened,turn2_screened,turn1_unscreened_fm,turn2_unscreened_fm,turn1_screened_fm,turn2_screened_fm
  1.00000000E+07,  9.39416165E+01,  5.53464923E+01,  3.85951242E+01,  5.77629651E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  3.04166667E+07,  9.39416165E+01,  5.52163207E+01,  3.87252957E+01,  6.57933882E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  5.08333333E+07,  9.39416165E+01,  5.51312559E+01,  3.88103606E+01,  7.16350290E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  7.12500000E+07,  9.39416165E+01,  5.50606031E+01,  3.88810134E+01,  7.68793236E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  9.16666667E+07,  9.39416165E+01,  5.50039935E+01,  3.89376230E+01,  8.13569779E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  1.12083333E+08,  9.39416165E+01,  5.49591415E+01,  3.89824750E+01,  8.50890727E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  1.32500000E+08,  9.39416165E+01,  5.49231724E+01,  3.90184441E+01,  8.82053588E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  1.52916667E+08,  9.39416165E+01,  5.48935766E+01,  3.90480398E+01,  9.08548737E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  1.73333333E+08,  9.39416165E+01,  5.48684418E+01,  3.90731746E+01,  9.31674340E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  1.93750000E+08,  9.39416165E+01,  5.48464100E+01,  3.90952064E+01,  9.52428590E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  2.14166667E+08,  9.39416165E+01,  5.48265637E+01,  3.91150528E+01,  9.71519640E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  2.34583333E+08,  9.39416165E+01,  5.48083113E+01,  3.91333052E+01,  9.89415047E+16,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  2.55000000E+08,  9.39416165E+01,  5.47912931E+01,  3.91503234E+01,  1.00639717E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  2.75416667E+08,  9.39416165E+01,  5.47753096E+01,  3.91663069E+01,  1.02261219E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  2.95833333E+08,  9.39416165E+01,  5.47602686E+01,  3.91813478E+01,  1.03810948E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  3.16250000E+08,  9.39416165E+01,  5.47461483E+01,  3.91954682E+01,  1.05287196E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  3.36666667E+08,  9.39416165E+01,  5.47329701E+01,  3.92086464E+01,  1.06683874E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  3.57083333E+08,  9.39416165E+01,  5.47207812E+01,  3.92208352E+01,  1.07992184E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  3.77500000E+08,  9.39416165E+01,  5.47096420E+01,  3.92319744E+01,  1.09201855E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  3.97916667E+08,  9.39416165E+01,  5.46996175E+01,  3.92419990E+01,  1.10302056E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  4.18333333E+08,  9.39416165E+01,  5.46907717E+01,  3.92508448E+01,  1.11282100E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  4.38750000E+08,  9.39416165E+01,  5.46831630E+01,  3.92584534E+01,  1.12132034E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  4.59166667E+08,  9.39416165E+01,  5.46768411E+01,  3.92647754E+01,  1.12843170E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  4.79583333E+08,  9.39416165E+01,  5.46718427E+01,  3.92697738E+01,  1.13408616E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
  5.00000000E+08,  9.39416165E+01,  5.46681886E+01,  3.92734279E+01,  1.13823786E+17,32,134,87,134,  3.20000000E+01,  1.34000000E+02,  8.70000000E+01,  1.34000000E+02
